card_number,name,team,designations
BSA-AM,Andres Muñoz,San Diego Padres,RC
BSA-AN,Austin Nola,Seattle Mariners,RC
BSA-BA,Bryan Abreu,Houston Astros,RC
BSA-CK,Clayton Kershaw,Los Angeles Dodgers,
BSA-CY,Christian Yelich,Milwaukee Brewers,
BSA-DF,David Fletcher,Angels,
BSA-DM,Daniel Mengden,Oakland Athletics,
BSA-DME,Danny Mendick,Chicago White Sox,RC
BSA-DR,Dereck Rodriguez,San Francisco Giants,
BSA-DSR,Darryl Strawberry,New York Mets,
BSA-FP,Freddy Peralta,Milwaukee Brewers,
BSA-FT,Fernando Tatis Jr.,San Diego Padres,
BSA-GL,Gavin Lux,Los Angeles Dodgers,RC
BSA-HH,Hunter Harvey,Baltimore Orioles,RC
BSA-JD,Jaylin Davis,San Francisco Giants,RC
BSA-JDU,Justin Dunn,Seattle Mariners,RC
BSA-JF,Junior Fernandez,St. Louis Cardinals,RC
BSA-JM,Jordan Montgomery,New York Yankees,
BSA-JR,Jake Rogers,Detroit Tigers,RC
BSA-JRA,Jose Ramirez,Cleveland Indians,
BSA-JSM,John Smoltz,Atlanta Braves,
BSA-JSO,Juan Soto,Washington Nationals,
BSA-JST,Josh Staumont,Kansas City Royals,RC
BSA-KB,Kris Bryant,Chicago Cubs,
BSA-KK,Kwang-Hyun Kim,St. Louis Cardinals,RC
BSA-LR,Luis Robert,Chicago White Sox,RC
BSA-LTH,Lewis Thorpe,Minnesota Twins,RC
BSA-MB,Michael Brosseau,Tampa Bay Rays,RC
BSA-MM,Mitch Moreland,Boston Red Sox,
BSA-MMA,Manny Machado,San Diego Padres,
BSA-MMC,Mark McGwire,Oakland Athletics,
BSA-NH,Nico Hoerner,Chicago Cubs,RC
BSA-NS,Noah Syndergaard,New York Mets,
BSA-PA,Pete Alonso,New York Mets,
BSA-PG,Paul Goldschmidt,St. Louis Cardinals,
BSA-RA,Rogelio Armenteros,Houston Astros,RC
BSA-RAR,Randy Arozarena,Tampa Bay Rays,RC
BSA-RY,Ryan Yarbrough,Tampa Bay Rays,
BSA-SA,Shogo Akiyama,Cincinnati Reds,RC
BSA-SB,Seth Brown,Oakland Athletics,RC
BSA-SH,Sam Hilliard,Colorado Rockies,RC
BSA-SL,Shed Long,Seattle Mariners,
BSA-SM,Sean Murphy,Oakland Athletics,RC
BSA-SN,Sheldon Neuse,Oakland Athletics,RC
BSA-SY,Shun Yamaguchi,Toronto Blue Jays,RC
BSA-TB,Trevor Bauer,Cincinnati Reds,
BSA-TD,Travis Demeritte,Detroit Tigers,RC
BSA-TE,Tommy Edman,St. Louis Cardinals,
BSA-TG,Tony Gonsolin,Los Angeles Dodgers,RC
BSA-TK,Tommy Kahnle,New York Yankees,
BSA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
BSA-YA,Yordan Alvarez,Houston Astros,RC
BSA-YC,Yu Chang,Cleveland Indians,RC
