card_number,name,team,designations
DDMA-AB,Alex Bregman,Houston Astros,
DDMA-ABE,Andrew Benintendi,Boston Red Sox,
DDMA-AJ,Aaron Judge,New York Yankees,
DDMA-ARI,Anthony Rizzo,Chicago Cubs,
DDMA-BB,Byron Buxton,Minnesota Twins,
DDMA-BBI,Bo Bichette,Toronto Blue Jays,RC
DDMA-BH,Bryce Harper,Philadelphia Phillies,
DDMA-BR,Brendan Rodgers,Colorado Rockies,
DDMA-CK,Clayton Kershaw,Los Angeles Dodgers,
DDMA-CKI,Carter Kieboom,Washington Nationals,
DDMA-CSA,Chris Sale,Boston Red Sox,
DDMA-CY,Christian Yelich,Milwaukee Brewers,
DDMA-DS,Dansby Swanson,Atlanta Braves,
DDMA-FF,Freddie Freeman,Atlanta Braves,
DDMA-GC,Gerrit Cole,New York Yankees,
DDMA-GL,Gavin Lux,Los Angeles Dodgers,RC
DDMA-GSP,George Springer,Houston Astros,
DDMA-JF,Jack Flaherty,St. Louis Cardinals,
DDMA-JdG,Jacob deGrom,New York Mets,
DDMA-KB,Kris Bryant,Chicago Cubs,
DDMA-KL,Kyle Lewis,Seattle Mariners,RC
DDMA-KS,Kyle Schwarber,Chicago Cubs,
DDMA-LG,Lucas Giolito,Chicago White Sox,
DDMA-MC,Michael Conforto,New York Mets,
DDMA-MCH,Matt Chapman,Oakland Athletics,
DDMA-MM,Manny Machado,San Diego Padres,
DDMA-MS,Max Scherzer,Washington Nationals,
DDMA-MSO,Mike Soroka,Atlanta Braves,
DDMA-MT,Mike Trout,Angels,
DDMA-NA,Nolan Arenado,Colorado Rockies,
DDMA-NS,Nick Senzel,Cincinnati Reds,
DDMA-PA,Pete Alonso,New York Mets,
DDMA-PG,Paul Goldschmidt,St. Louis Cardinals,
DDMA-RH,Rhys Hoskins,Philadelphia Phillies,
DDMA-TA,Tim Anderson,Chicago White Sox,
DDMA-TL,Tim Lincecum,San Francisco Giants,
DDMA-WB,Walker Buehler,Los Angeles Dodgers,
