card_number,name,team,designations
ESAWA-1,Pete Alonso,New York Mets,
ESAWA-2,Pete Alonso,New York Mets,
ESAWA-3,Pete Alonso,New York Mets,
ESAWA-4,Pete Alonso,New York Mets,
ESAWA-5,Pete Alonso,New York Mets,
ESAWA-6,Pete Alonso,New York Mets,
ESAWA-7,Pete Alonso,New York Mets,
ESAWA-8,Pete Alonso,New York Mets,
ESAWA-9,Pete Alonso,New York Mets,
ESAWA-10,Pete Alonso,New York Mets,
ESAWA-11,Pete Alonso,New York Mets,
ESAWA-12,Pete Alonso,New York Mets,
ESAWA-13,Pete Alonso,New York Mets,
ESAWA-14,Pete Alonso,New York Mets,
ESAWA-15,Pete Alonso,New York Mets,
ESAWA-16,Pete Alonso,New York Mets,
ESAWA-17,Pete Alonso,New York Mets,
ESAWA-18,Pete Alonso,New York Mets,
ESAWA-19,Pete Alonso,New York Mets,
ESAWA-20,Pete Alonso,New York Mets,
ESAWA-21,Pete Alonso,New York Mets,
ESAWA-22,Pete Alonso,New York Mets,
ESAWA-23,Pete Alonso,New York Mets,
ESAWA-24,Pete Alonso,New York Mets,
ESAWA-25,Pete Alonso,New York Mets,
ESAWA-26,Pete Alonso,New York Mets,
ESAWA-27,Pete Alonso,New York Mets,
ESAWA-28,Pete Alonso,New York Mets,
ESAWA-29,Pete Alonso,New York Mets,
ESAWA-30,Pete Alonso,New York Mets,
