card_number,name,team,designations
FTJHA-1,Fernando Tatis Jr.,San Diego Padres,
FTJHA-2,Fernando Tatis Jr.,San Diego Padres,
FTJHA-3,Fernando Tatis Jr.,San Diego Padres,
FTJHA-4,Fernando Tatis Jr.,San Diego Padres,
FTJHA-5,Fernando Tatis Jr.,San Diego Padres,
FTJHA-6,Fernando Tatis Jr.,San Diego Padres,
FTJHA-7,Fernando Tatis Jr.,San Diego Padres,
FTJHA-8,Fernando Tatis Jr.,San Diego Padres,
FTJHA-9,Fernando Tatis Jr.,San Diego Padres,
FTJHA-10,Fernando Tatis Jr.,San Diego Padres,
FTJHA-11,Fernando Tatis Jr.,San Diego Padres,
FTJHA-12,Fernando Tatis Jr.,San Diego Padres,
FTJHA-13,Fernando Tatis Jr.,San Diego Padres,
FTJHA-14,Fernando Tatis Jr.,San Diego Padres,
FTJHA-15,Fernando Tatis Jr.,San Diego Padres,
FTJHA-16,Fernando Tatis Jr.,San Diego Padres,
FTJHA-17,Fernando Tatis Jr.,San Diego Padres,
FTJHA-18,Fernando Tatis Jr.,San Diego Padres,
FTJHA-19,Fernando Tatis Jr.,San Diego Padres,
FTJHA-20,Fernando Tatis Jr.,San Diego Padres,
FTJHA-21,Fernando Tatis Jr.,San Diego Padres,
FTJHA-22,Fernando Tatis Jr.,San Diego Padres,
FTJHA-23,Fernando Tatis Jr.,San Diego Padres,
FTJHA-24,Fernando Tatis Jr.,San Diego Padres,
FTJHA-25,Fernando Tatis Jr.,San Diego Padres,
FTJHA-26,Fernando Tatis Jr.,San Diego Padres,
FTJHA-27,Fernando Tatis Jr.,San Diego Padres,
FTJHA-28,Fernando Tatis Jr.,San Diego Padres,
FTJHA-29,Fernando Tatis Jr.,San Diego Padres,
FTJHA-30,Fernando Tatis Jr.,San Diego Padres,
