card_number,name,team,designations
JJSA-AA,Aristides Aquino,Cincinnati Reds,RC
JJSA-AR,Anthony Rizzo,Chicago Cubs,
JJSA-BM,Brendan McKay,Tampa Bay Rays,RC
JJSA-BS,Blake Snell,Tampa Bay Rays,
JJSA-DV,Daniel Vogelbach,Seattle Mariners,
JJSA-JL,Jesus Luzardo,Oakland Athletics,RC
JJSA-JS,Juan Soto,Washington Nationals,
JJSA-JVO,Joey Votto,Cincinnati Reds,
JJSA-JY,Jordan Yamamoto,Miami Marlins,RC
JJSA-Jd,Jacob deGrom,New York Mets,
JJSA-KL,Kyle Lewis,Seattle Mariners,RC
JJSA-KM,Ketel Marte,Arizona Diamondbacks,
JJSA-MC,Matt Chapman,Oakland Athletics,
JJSA-MK,Max Kepler,Minnesota Twins,
JJSA-MS,Max Scherzer,Washington Nationals,
JJSA-MT,Mike Trout,Angels,
JJSA-NA,Nolan Arenado,Colorado Rockies,
JJSA-OA,Ozzie Albies,Atlanta Braves,
JJSA-PA,Pete Alonso,New York Mets,
JJSA-RA,Ronald Acuña Jr.,Atlanta Braves,
JJSA-RD,Rafael Devers,Boston Red Sox,
JJSA-RH,Rhys Hoskins,Philadelphia Phillies,
JJSA-TM,Trey Mancini,Baltimore Orioles,
JJSA-WM,Whit Merrifield,Kansas City Royals,
JJSA-YA,Yordan Alvarez,Houston Astros,RC
