card_number,name,team,designations
JSEAR-AA,Aristides Aquino,Cincinnati Reds,
JSEAR-AJ,Aaron Judge,New York Yankees,
JSEAR-AM,Austin Meadows,Tampa Bay Rays,
JSEAR-AR,Anthony Rizzo,Chicago Cubs,
JSEAR-BL,Brandon Lowe,Tampa Bay Rays,
JSEAR-BP,Buster Posey,San Francisco Giants,
JSEAR-BS,Blake Snell,Tampa Bay Rays,
JSEAR-CBL,Charlie Blackmon,Colorado Rockies,
JSEAR-CK,Clayton Kershaw,Los Angeles Dodgers,
JSEAR-CP,Chris Paddack,San Diego Padres,
JSEAR-DV,Daniel Vogelbach,Seattle Mariners,
JSEAR-EL,Evan Longoria,San Francisco Giants,
JSEAR-FF,Freddie Freeman,Atlanta Braves,
JSEAR-FT,Fernando Tatis Jr.,San Diego Padres,
JSEAR-GS,George Springer,Houston Astros,
JSEAR-GSA,Gary Sanchez,New York Yankees,
JSEAR-JA,Jose Altuve,Houston Astros,
JSEAR-JDM,J.D. Martinez,Boston Red Sox,
JSEAR-JS,Jorge Soler,Kansas City Royals,
JSEAR-JV,Joey Votto,Cincinnati Reds,
JSEAR-KB,Kris Bryant,Chicago Cubs,
JSEAR-MC,Matt Chapman,Oakland Athletics,
JSEAR-MH,Mitch Haniger,Seattle Mariners,
JSEAR-MM,Manny Machado,San Diego Padres,
JSEAR-MMU,Max Muncy,Los Angeles Dodgers,
JSEAR-MO,Matt Olson,Oakland Athletics,
JSEAR-MSC,Max Scherzer,Washington Nationals,
JSEAR-MT,Mike Trout,Angels,
JSEAR-NA,Nolan Arenado,Colorado Rockies,
JSEAR-NS,Nick Senzel,Cincinnati Reds,
JSEAR-RD,Rafael Devers,Boston Red Sox,
JSEAR-TM,Trey Mancini,Baltimore Orioles,
JSEAR-WB,Walker Buehler,Los Angeles Dodgers,
JSEAR-WC,Willson Contreras,Chicago Cubs,
JSEAR-WM,Whit Merrifield,Kansas City Royals,
JSEAR-XB,Xander Bogaerts,Boston Red Sox,
