card_number,name,team,designations
RRMA-AK,Al Kaline,Detroit Tigers,
RRMA-BG,Bob Gibson,St. Louis Cardinals,
RRMA-BJ,Bo Jackson,Kansas City Royals,
RRMA-BP,Buster Posey,San Francisco Giants,
RRMA-CJ,Chipper Jones,Atlanta Braves,
RRMA-CK,Clayton Kershaw,Los Angeles Dodgers,
RRMA-CR,Cal Ripken Jr.,Baltimore Orioles,
RRMA-DE,Dennis Eckersley,Cleveland Indians,
RRMA-DG,Dwight Gooden,New York Mets,
RRMA-DM,Don Mattingly,New York Yankees,
RRMA-DS,Darryl Strawberry,New York Mets,
RRMA-FR,Frank Robinson,Cincinnati Reds,
RRMA-FT,Fernando Tatis Jr.,San Diego Padres,
RRMA-FTH,Frank Thomas,Chicago White Sox,
RRMA-IS,Ichiro Suzuki,Seattle Mariners,
RRMA-JA,Jose Altuve,Houston Astros,
RRMA-JB,Jeff Bagwell,Houston Astros,
RRMA-JC,Jose Canseco,Oakland Athletics,
RRMA-JS,John Smoltz,Atlanta Braves,
RRMA-KG,Ken Griffey Jr.,Seattle Mariners,
RRMA-MC,Miguel Cabrera,Florida Marlins,
RRMA-MT,Mike Trout,Angels,
RRMA-OS,Ozzie Smith,San Diego Padres,
RRMA-PA,Pete Alonso,New York Mets,
RRMA-RH,Rhys Hoskins,Philadelphia Phillies,
RRMA-RHE,Rickey Henderson,Oakland Athletics,
RRMA-RJ,Reggie Jackson,Oakland Athletics,
RRMA-RS,Ryne Sandberg,Chicago Cubs,
RRMA-TR,Tim Raines,Montréal Expos,
RRMA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
