card_number,name,team,designations
SSA-AJ,Aaron Judge,New York Yankees,
SSA-AMU,Andres Muñoz,San Diego Padres,
SSA-BB,Byron Buxton,Minnesota Twins,
SSA-CY,Christian Yelich,Milwaukee Brewers,
SSA-JH,Josh Hader,Milwaukee Brewers,
SSA-JR,J.T. Realmuto,Philadelphia Phillies,
SSA-JS,Jorge Soler,Kansas City Royals,
SSA-Jd,Jacob deGrom,New York Mets,
SSA-MT,Mike Trout,Angels,
SSA-MT2,Mike Trout,Angels,
SSA-MT3,Mike Trout,Angels,
SSA-MT4,Mike Trout,Angels,
SSA-MT5,Mike Trout,Angels,
SSA-RD,Rafael Devers,Boston Red Sox,
SSA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
SSA-VR,Victor Robles,Washington Nationals,
