card_number,name,team,designations
TPMA-AA,Aristides Aquino,Cincinnati Reds,RC
TPMA-AB,Alex Bregman,Houston Astros,
TPMA-ARZ,Anthony Rizzo,Chicago Cubs,
TPMA-BB,Bo Bichette,Toronto Blue Jays,RC
TPMA-BM,Brendan McKay,Tampa Bay Rays,RC
TPMA-CY,Christian Yelich,Milwaukee Brewers,
TPMA-EJ,Eloy Jimenez,Chicago White Sox,
TPMA-FT,Fernando Tatis Jr.,San Diego Padres,
TPMA-GL,Gavin Lux,Los Angeles Dodgers,RC
TPMA-JA,Jose Altuve,Houston Astros,
TPMA-JL,Jesus Luzardo,Oakland Athletics,RC
TPMA-JS,Juan Soto,Washington Nationals,
TPMA-Jd,Jacob deGrom,New York Mets,
TPMA-KL,Kyle Lewis,Seattle Mariners,RC
TPMA-KM,Ketel Marte,Arizona Diamondbacks,
TPMA-LR,Luis Robert,Chicago White Sox,RC
TPMA-MC,Matt Chapman,Oakland Athletics,
TPMA-MCA,Miguel Cabrera,Detroit Tigers,
TPMA-MK,Max Kepler,Minnesota Twins,
TPMA-MS,Max Scherzer,Washington Nationals,
TPMA-NA,Nolan Arenado,Colorado Rockies,
TPMA-PA,Pete Alonso,New York Mets,
TPMA-PG,Paul Goldschmidt,St. Louis Cardinals,
TPMA-RA,Ronald Acuña Jr.,Atlanta Braves,
TPMA-RD,Rafael Devers,Boston Red Sox,
TPMA-RH,Rhys Hoskins,Philadelphia Phillies,
TPMA-TM,Trey Mancini,Baltimore Orioles,
TPMA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
TPMA-WM,Whit Merrifield,Kansas City Royals,
TPMA-YA,Yordan Alvarez,Houston Astros,RC
