card_number,name,team,designations
TMTA-1,Mike Trout OF,,
TMTA-2,Mike Trout OF,,
TMTA-3,Mike Trout OF,,
TMTA-4,Mike Trout OF,,
TMTA-5,Mike Trout OF,,
TMTA-6,Mike Trout OF,,
TMTA-7,Mike Trout OF,,
TMTA-8,Mike Trout OF,,
TMTA-9,Mike Trout OF,,
TMTA-10,Mike Trout OF,,
TMTA-11,Mike Trout OF,,
TMTA-12,Mike Trout OF,,
TMTA-13,Mike Trout OF,,
TMTA-14,Mike Trout OF,,
TMTA-15,Mike Trout OF,,
TMTA-16,Mike Trout OF,,
TMTA-17,Mike Trout OF,,
TMTA-18,Mike Trout OF,,
TMTA-19,Mike Trout OF,,
TMTA-20,Mike Trout OF,,
TMTA-21,Mike Trout OF,,
TMTA-22,Mike Trout OF,,
TMTA-23,Mike Trout OF,,
TMTA-24,Mike Trout OF,,
TMTA-25,Mike Trout OF,,
