card_number,name,team,designations
RHA-1,Rhys Hoskins,Philadelphia Phillies,
RHA-2,Rhys Hoskins,Philadelphia Phillies,
RHA-3,Rhys Hoskins,Philadelphia Phillies,
RHA-4,Rhys Hoskins,Philadelphia Phillies,
RHA-5,Rhys Hoskins,Philadelphia Phillies,
RHA-6,Rhys Hoskins,Philadelphia Phillies,
RHA-7,Rhys Hoskins,Philadelphia Phillies,
RHA-8,Rhys Hoskins,Philadelphia Phillies,
RHA-9,Rhys Hoskins,Philadelphia Phillies,
RHA-10,Rhys Hoskins,Philadelphia Phillies,
RHA-11,Rhys Hoskins,Philadelphia Phillies,
RHA-12,Rhys Hoskins,Philadelphia Phillies,
RHA-13,Rhys Hoskins,Philadelphia Phillies,
RHA-14,Rhys Hoskins,Philadelphia Phillies,
RHA-15,Rhys Hoskins,Philadelphia Phillies,
RHA-16,Rhys Hoskins,Philadelphia Phillies,
RHA-17,Rhys Hoskins,Philadelphia Phillies,
RHA-18,Rhys Hoskins,Philadelphia Phillies,
RHA-19,Rhys Hoskins,Philadelphia Phillies,
RHA-20,Rhys Hoskins,Philadelphia Phillies,
RHA-21,Rhys Hoskins,Philadelphia Phillies,
RHA-22,Rhys Hoskins,Philadelphia Phillies,
RHA-23,Rhys Hoskins,Philadelphia Phillies,
RHA-24,Rhys Hoskins,Philadelphia Phillies,
RHA-25,Rhys Hoskins,Philadelphia Phillies,
RHA-26,Rhys Hoskins,Philadelphia Phillies,
RHA-27,Rhys Hoskins,Philadelphia Phillies,
RHA-28,Rhys Hoskins,Philadelphia Phillies,
RHA-29,Rhys Hoskins,Philadelphia Phillies,
RHA-30,Rhys Hoskins,Philadelphia Phillies,
