card_number,name,team,designations
WARA-AK,Kaline,Detroit Tigers,
WARA-BG,Bob Gibson,St. Louis Cardinals,
WARA-CR,Cal Ripken Jr.,Baltimore Orioles,
WARA-CY,Christian Yelich,Milwaukee Brewers,
WARA-CYA,Carl Yastrzemski,Boston Red Sox,
WARA-DG,Dwight Gooden,New York Mets,
WARA-FT,Frank Thomas,Chicago White Sox,
WARA-JB,Johnny Bench,Cincinnati Reds,
WARA-Jd,Jacob deGrom,New York Mets,
WARA-MS,Max Scherzer,Washington Nationals,
WARA-MSC,Mike Schmidt,Philadelphia Phillies,
WARA-MT,Mike Trout,Angels,
WARA-RH,Rickey Henderson,Oakland Athletics,
WARA-RY,Robin Yount,Milwaukee Brewers,
WARA-SC,Steve Carlton,Philadelphia Phillies,
WARA-TG,Tom Glavine,Atlanta Braves,
WARA-WB,Wade Boggs,Boston Red Sox,
