card_number,name,team,designations
85AS-1,Mike Trout,Angels,
85AS-2,Aaron Judge,New York Yankees,
85AS-3,Roger Clemens,Boston Red Sox,
85AS-4,Cal Ripken Jr.,Baltimore Orioles,
85AS-5,Reggie Jackson,Oakland Athletics,
85AS-6,Rickey Henderson,Oakland Athletics,
85AS-7,Carl Yastrzemski,Boston Red Sox,
85AS-8,Mark McGwire,Oakland Athletics,
85AS-9,Johnny Bench,Cincinnati Reds,
85AS-10,Hideki Matsui,New York Yankees,
85AS-11,Bo Jackson,Kansas City Royals,
85AS-12,Ryne Sandberg,Chicago Cubs,
85AS-13,Andre Dawson,Montréal Expos,
85AS-14,Chris Sale,Boston Red Sox,
85AS-15,Tom Glavine,Atlanta Braves,
85AS-16,Willson Contreras,Chicago Cubs,
85AS-17,Jacob deGrom,New York Mets,
85AS-18,Francisco Lindor,Cleveland Indians,
85AS-19,Christian Yelich,Milwaukee Brewers,
85AS-20,Luis Severino,New York Yankees,
85AS-21,Wade Boggs,Boston Red Sox,
85AS-22,Robin Yount,Milwaukee Brewers,
85AS-23,Don Mattingly,New York Yankees,
85AS-24,Ozzie Smith,St. Louis Cardinals,
85AS-25,Jose Altuve,Houston Astros,
85AS-26,Bob Gibson,St. Louis Cardinals,
85AS-27,Carlton Fisk,Boston Red Sox,
85AS-28,Dale Murphy,Atlanta Braves,
85AS-29,Will Clark,San Francisco Giants,
85AS-30,Darryl Strawberry,New York Mets,
85AS-31,Edgar Martinez,Seattle Mariners,
85AS-32,Blake Snell,Tampa Bay Rays,
85AS-33,Ozzie Albies,Atlanta Braves,
85AS-34,Jim Rice,Boston Red Sox,
85AS-35,Rod Carew,Minnesota Twins,
85AS-36,Paul Goldschmidt,St. Louis Cardinals,
85AS-37,George Springer,Houston Astros,
85AS-38,Max Scherzer,Washington Nationals,
85AS-39,Ronald Acuña Jr.,Atlanta Braves,
85AS-40,Ken Griffey Jr.,Seattle Mariners,
85AS-41,Ketel Marte,Arizona Diamondbacks,
85AS-42,Nolan Arenado,Colorado Rockies,
85AS-43,Gleyber Torres,New York Yankees,
85AS-44,Pete Alonso,New York Mets,
85AS-45,Jeff McNeil,New York Mets,
85AS-46,Lucas Giolito,Chicago White Sox,
85AS-47,Shane Bieber,Cleveland Indians,
85AS-48,Jose Berrios,Minnesota Twins,
85AS-49,Clayton Kershaw,Los Angeles Dodgers,
85AS-50,Kris Bryant,Chicago Cubs,
