card_number,name,team,designations
85TC-1,Ketel Marte,Arizona Diamondbacks,
85TC-2,Shogo Akiyama,Cincinnati Reds,RC
85TC-3,Chipper Jones,Atlanta Braves,
85TC-4,Ozzie Albies,Atlanta Braves,
85TC-5,Hunter Harvey,Baltimore Orioles,RC
85TC-6,Xander Bogaerts,Boston Red Sox,
85TC-7,Adbert Alzolay,Chicago Cubs,RC
85TC-8,Anthony Rizzo,Chicago Cubs,
85TC-9,Javier Baez,Chicago Cubs,
85TC-10,Eloy Jimenez,Chicago White Sox,
85TC-11,Zack Collins,Chicago White Sox,RC
85TC-12,Joey Votto,Cincinnati Reds,
85TC-13,Aaron Civale,Cleveland Indians,RC
85TC-14,Kwang-Hyun Kim,St. Louis Cardinals,RC
85TC-15,Sam Hilliard,Colorado Rockies,RC
85TC-16,Jake Rogers,Detroit Tigers,RC
85TC-17,Alex Bregman,Houston Astros,
85TC-18,Justin Verlander,Houston Astros,
85TC-19,Abraham Toro,Houston Astros,RC
85TC-20,Jose Urquidy,Houston Astros,RC
85TC-21,George Brett,Kansas City Royals,
85TC-22,Jorge Soler,Kansas City Royals,
85TC-23,Cody Bellinger,Los Angeles Dodgers,
85TC-24,Isan Diaz,Miami Marlins,RC
85TC-25,Robin Yount,Milwaukee Brewers,
85TC-26,Noah Syndergaard,New York Mets,
85TC-27,Shun Yamaguchi,Toronto Blue Jays,RC
85TC-28,Masahiro Tanaka,New York Yankees,
85TC-29,A.J. Puk,Oakland Athletics,RC
85TC-30,Sheldon Neuse,Oakland Athletics,RC
85TC-31,Matt Chapman,Oakland Athletics,
85TC-32,Rickey Henderson,Oakland Athletics,
85TC-33,Roberto Clemente,Pittsburgh Pirates,
85TC-34,Tony Gwynn,San Diego Padres,
85TC-35,Giancarlo Stanton,New York Yankees,
85TC-36,Mauricio Dubon,San Francisco Giants,RC
85TC-37,Jaylin Davis,San Francisco Giants,RC
85TC-38,Buster Posey,San Francisco Giants,
85TC-39,Justin Dunn,Seattle Mariners,RC
85TC-40,Randy Johnson,Seattle Mariners,
85TC-41,Randy Arozarena,Tampa Bay Rays,RC
85TC-42,Yadier Molina,St. Louis Cardinals,
85TC-43,Brandon Lowe,Tampa Bay Rays,
85TC-44,Nick Solak,Texas Rangers,RC
85TC-45,Josh Rojas,Arizona Diamondbacks,RC
85TC-46,Danny Mendick,Chicago White Sox,RC
85TC-47,Anthony Kay,Toronto Blue Jays,RC
85TC-48,Luis Robert,Chicago White Sox,RC
85TC-49,Carter Kieboom,Washington Nationals,
85TC-50,Max Scherzer,Washington Nationals,
