card_number,name,team,designations
85-1,Mike Trout,Angels,
85-2,Shohei Ohtani,Angels,
85-3,Albert Pujols,Angels,
85-4,Matt Thaiss,Angels,RC
85-5,Alex Young,Arizona Diamondbacks,RC
85-6,Zac Gallen,Arizona Diamondbacks,RC
85-7,Chipper Jones,Atlanta Braves,
85-8,Dale Murphy,Atlanta Braves,
85-9,Hank Aaron,Atlanta Braves,
85-10,Mike Soroka,Atlanta Braves,
85-11,Ozzie Albies,Atlanta Braves,
85-12,Ronald Acuña Jr.,Atlanta Braves,
85-13,Cal Ripken Jr.,Baltimore Orioles,
85-14,Mike Mussina,Baltimore Orioles,
85-15,Chris Sale,Boston Red Sox,
85-16,J.D. Martinez,Boston Red Sox,
85-17,Rafael Devers,Boston Red Sox,
85-18,Roger Clemens,Boston Red Sox,
85-19,Wade Boggs,Boston Red Sox,
85-20,Xander Bogaerts,Boston Red Sox,
85-21,Mookie Betts,Boston Red Sox,
85-22,Jackie Robinson,Brooklyn Dodgers,
85-23,Rod Carew,California Angels,
85-24,Anthony Rizzo,Chicago Cubs,
85-25,Kris Bryant,Chicago Cubs,
85-26,Kyle Schwarber,Chicago Cubs,
85-27,Ryne Sandberg,Chicago Cubs,
85-28,Willson Contreras,Chicago Cubs,
85-29,Robel Garcia,Chicago Cubs,RC
85-30,Dylan Cease,Chicago White Sox,RC
85-31,Eloy Jimenez,Chicago White Sox,
85-32,Frank Thomas,Chicago White Sox,
85-33,Zack Collins,Chicago White Sox,RC
85-34,Joey Votto,Cincinnati Reds,
85-35,Johnny Bench,Cincinnati Reds,
85-36,Nick Senzel,Cincinnati Reds,
85-37,Trevor Bauer,Cincinnati Reds,
85-38,Aristides Aquino,Cincinnati Reds,RC
85-39,Francisco Lindor,Cleveland Indians,
85-40,Shane Bieber,Cleveland Indians,
85-41,Nolan Arenado,Colorado Rockies,
85-42,Al Kaline,Detroit Tigers,
85-43,Miguel Cabrera,Detroit Tigers,
85-44,Jake Rogers,Detroit Tigers,RC
85-45,George Springer,Houston Astros,
85-46,Gerrit Cole,Houston Astros,
85-47,Jeff Bagwell,Houston Astros,
85-48,Jose Altuve,Houston Astros,
85-49,Nolan Ryan,Houston Astros,
85-50,Yordan Alvarez,Houston Astros,RC
85-51,Alex Bregman,Houston Astros,
85-52,Whit Merrifield,Kansas City Royals,
85-53,George Brett,Kansas City Royals,
85-54,Clayton Kershaw,Los Angeles Dodgers,
85-55,Sandy Koufax,Los Angeles Dodgers,
85-56,Walker Buehler,Los Angeles Dodgers,
85-57,Dustin May,Los Angeles Dodgers,RC
85-58,Jordan Yamamoto,Miami Marlins,RC
85-59,Christian Yelich,Milwaukee Brewers,
85-60,Keston Hiura,Milwaukee Brewers,
85-61,Robin Yount,Milwaukee Brewers,
85-62,Jose Berrios,Minnesota Twins,
85-63,Max Kepler,Minnesota Twins,
85-64,Vladimir Guerrero,Montréal Expos,
85-65,Darryl Strawberry,New York Mets,
85-66,Jacob deGrom,New York Mets,
85-67,Noah Syndergaard,New York Mets,
85-68,Pete Alonso,New York Mets,
85-69,Aaron Judge,New York Yankees,
85-70,Don Mattingly,New York Yankees,
85-71,Luis Severino,New York Yankees,
85-72,Mariano Rivera,New York Yankees,
85-73,Reggie Jackson,New York Yankees,
85-74,Gleyber Torres,New York Yankees,
85-75,Mark McGwire,Oakland Athletics,
85-76,Ramon Laureano,Oakland Athletics,
85-77,Rickey Henderson,Oakland Athletics,
85-78,Matt Chapman,Oakland Athletics,
85-79,Bryce Harper,Philadelphia Phillies,
85-80,Rhys Hoskins,Philadelphia Phillies,
85-81,Roberto Clemente,Pittsburgh Pirates,
85-82,Manny Machado,San Diego Padres,
85-83,Chris Paddack,San Diego Padres,
85-84,Fernando Tatis Jr.,San Diego Padres,
85-85,Tony Gwynn,San Diego Padres,
85-86,Will Clark,San Francisco Giants,
85-87,Willie Mays,San Francisco Giants,
85-88,Ichiro,Seattle Mariners,
85-89,Ken Griffey Jr.,Seattle Mariners,
85-90,Paul Goldschmidt,St. Louis Cardinals,
85-91,Ozzie Smith,St. Louis Cardinals,
85-92,Gavin Lux,Los Angeles Dodgers,RC
85-93,Yadier Molina,St. Louis Cardinals,
85-94,Blake Snell,Tampa Bay Rays,
85-95,Nico Hoerner,Chicago Cubs,RC
85-96,Brendan McKay,Tampa Bay Rays,RC
85-97,Bo Bichette,Toronto Blue Jays,RC
85-98,Vladimir Guerrero Jr.,Toronto Blue Jays,
85-99,Juan Soto,Washington Nationals,
85-100,Max Scherzer,Washington Nationals,
85TB-1,Anthony Rendon,Angels,
85TB-2,Ketel Marte,Arizona Diamondbacks,
85TB-3,Freddie Freeman,Atlanta Braves,
85TB-4,Austin Riley,Atlanta Braves,
