card_number,name,team,designations
DBC-1,Detroit Tigers,Detroit Tigers,
DBC-2,Philadelphia Phillies,Philadelphia Phillies,
DBC-3,St. Louis Cardinals,St. Louis Cardinals,
DBC-4,Boston Red Sox,Boston Red Sox,
DBC-5,New York Giants,New York Giants,
DBC-6,New York Yankees,New York Yankees,
DBC-7,Brooklyn Dodgers,Brooklyn Dodgers,
DBC-8,Milwaukee Braves,Milwaukee Braves,
DBC-9,Cleveland Indians,Cleveland Indians,
DBC-10,Chicago White Sox,Chicago White Sox,
DBC-11,Whitey Ford,New York Yankees,
DBC-12,Juan Marichal,San Francisco Giants,
DBC-13,Jim Bunning,Philadelphia Phillies,
DBC-14,Bob Gibson,St. Louis Cardinals,
DBC-15,Sandy Koufax,Los Angeles Dodgers,
DBC-16,Warren Spahn,Milwaukee Braves,
DBC-17,Hoyt Wilhelm,Chicago White Sox,
DBC-18,Fergie Jenkins,Chicago Cubs,
DBC-19,Phil Niekro,Atlanta Braves,
DBC-20,Don Sutton,Los Angeles Dodgers,
DBC-21,Hank Aaron,Milwaukee Braves,
DBC-22,Frank Robinson,Cincinnati Reds,
DBC-23,Brooks Robinson,Baltimore Orioles,
DBC-24,Carl Yastrzemski,Boston Red Sox,
DBC-25,Harmon Killebrew,Minnesota Twins,
DBC-26,Willie Mays,San Francisco Giants,
DBC-27,Willie McCovey,San Francisco Giants,
DBC-28,Orlando Cepeda,San Francisco Giants,
DBC-29,Roberto Clemente,Pittsburgh Pirates,
DBC-30,Roger Maris,New York Yankees,
DBC-31,Eddie Murray,Baltimore Orioles,
DBC-32,Carlton Fisk,Boston Red Sox,
DBC-33,Andre Dawson,Montréal Expos,
DBC-34,Johnny Bench,Cincinnati Reds,
DBC-35,Joe Morgan,Cincinnati Reds,
DBC-36,Rod Carew,Minnesota Twins,
DBC-37,Steve Carlton,Philadelphia Phillies,
DBC-38,Tom Seaver,New York Mets,
DBC-39,Jim Palmer,Baltimore Orioles,
DBC-40,Catfish Hunter,Oakland Athletics,
DBC-41,Johnny Bench,Cincinnati Reds,
DBC-42,Jim Rice,Boston Red Sox,
DBC-43,Willie Stargell,Pittsburgh Pirates,
DBC-44,Rod Carew,Minnesota Twins,
DBC-45,Joe Morgan,Cincinnati Reds,
DBC-46,Reggie Jackson,Oakland Athletics,
DBC-47,Mike Schmidt,Philadelphia Phillies,
DBC-48,Willie McCovey,San Francisco Giants,
DBC-49,George Foster,Cincinnati Reds,
DBC-50,Hank Aaron,Atlanta Braves,
DBC-51,New York Yankees,New York Yankees,
DBC-52,Oakland Athletics,Oakland Athletics,
DBC-53,St. Louis Cardinals,St. Louis Cardinals,
DBC-54,Detroit Tigers,Detroit Tigers,
DBC-55,New York Mets,New York Mets,
DBC-56,Kansas City Royals,Kansas City Royals,
DBC-57,Los Angeles Dodgers,Los Angeles Dodgers,
DBC-58,Philadelphia Phillies,Philadelphia Phillies,
DBC-59,Minnesota Twins,Minnesota Twins,
DBC-60,Baltimore Orioles,Baltimore Orioles,
DBC-61,Bert Blyleven,Cleveland Indians,
DBC-62,Steve Carlton,Philadelphia Phillies,
DBC-63,Dwight Gooden,New York Mets,
DBC-64,Roger Clemens,Boston Red Sox,
DBC-65,Nolan Ryan,Houston Astros,
DBC-66,Jack Morris,Detroit Tigers,
DBC-67,Rollie Fingers,Milwaukee Brewers,
DBC-68,Goose Gossage,New York Yankees,
DBC-69,Bruce Sutter,St. Louis Cardinals,
DBC-70,Dennis Eckersley,Oakland Athletics,
DBC-71,Houston Astros,Houston Astros,
DBC-72,Montréal Expos,Montréal Expos,
DBC-73,Cleveland Indians,Cleveland Indians,
DBC-74,Atlanta Braves,Atlanta Braves,
DBC-75,New York Yankees,New York Yankees,
DBC-76,Toronto Blue Jays,Toronto Blue Jays,
DBC-77,Cincinnati Reds,Cincinnati Reds,
DBC-78,Pittsburgh Pirates,Pittsburgh Pirates,
DBC-79,Texas Rangers,Texas Rangers,
DBC-80,Boston Red Sox,Boston Red Sox,
DBC-81,Albert Pujols,St. Louis Cardinals,
DBC-82,Joe Mauer,Minnesota Twins,
DBC-83,Ryan Howard,Philadelphia Phillies,
DBC-84,Alex Rodriguez,New York Yankees,
DBC-85,Ichiro,Seattle Mariners,
DBC-86,Albert Pujols,St. Louis Cardinals,
DBC-87,Randy Johnson,Arizona Diamondbacks,
DBC-88,Tim Lincecum,San Francisco Giants,
DBC-89,Barry Zito,Oakland Athletics,
DBC-90,Pedro Martinez,Boston Red Sox,
DBC-91,Justin Verlander,Houston Astros,
DBC-92,Clayton Kershaw,Los Angeles Dodgers,
DBC-93,Max Scherzer,Washington Nationals,
DBC-94,Stephen Strasburg,Washington Nationals,
DBC-95,Felix Hernandez,Seattle Mariners,
DBC-96,Chris Sale,Boston Red Sox,
DBC-97,Zack Greinke,Houston Astros,
DBC-98,Jacob deGrom,New York Mets,
DBC-99,Corey Kluber,Cleveland Indians,
DBC-100,Jon Lester,Chicago Cubs,
