card_number,name,team,designations
DB-1,Detroit Tigers,Detroit Tigers,
DB-2,Philadelphia Phillies,Philadelphia Phillies,
DB-3,St. Louis Cardinals,St. Louis Cardinals,
DB-4,Boston Red Sox,Boston Red Sox,
DB-5,New York Giants,New York Giants,
DB-6,New York Yankees,New York Yankees,
DB-7,Brooklyn Dodgers,Brooklyn Dodgers,
DB-8,Milwaukee Braves,Milwaukee Braves,
DB-9,Cleveland Indians,Cleveland Indians,
DB-10,Chicago White Sox,Chicago White Sox,
DB-11,Whitey Ford,New York Yankees,
DB-12,Juan Marichal,San Francisco Giants,
DB-13,Jim Bunning,Philadelphia Phillies,
DB-14,Bob Gibson,St. Louis Cardinals,
DB-15,Sandy Koufax,Los Angeles Dodgers,
DB-16,Warren Spahn,Milwaukee Braves,
DB-17,Hoyt Wilhelm,Chicago White Sox,
DB-18,Fergie Jenkins,Chicago Cubs,
DB-19,Phil Niekro,Atlanta Braves,
DB-20,Don Sutton,Los Angeles Dodgers,
DB-21,Hank Aaron,Milwaukee Braves,
DB-22,Frank Robinson,Cincinnati Reds,
DB-23,Brooks Robinson,Baltimore Orioles,
DB-24,Carl Yastrzemski,Boston Red Sox,
DB-25,Harmon Killebrew,Minnesota Twins,
DB-26,Willie Mays,San Francisco Giants,
DB-27,Willie McCovey,San Francisco Giants,
DB-28,Orlando Cepeda,San Francisco Giants,
DB-29,Roberto Clemente,Pittsburgh Pirates,
DB-30,Roger Maris,New York Yankees,
DB-31,Eddie Murray,Baltimore Orioles,
DB-32,Carlton Fisk,Boston Red Sox,
DB-33,Andre Dawson,Montréal Expos,
DB-34,Johnny Bench,Cincinnati Reds,
DB-35,Joe Morgan,Cincinnati Reds,
DB-36,Rod Carew,Minnesota Twins,
DB-37,Steve Carlton,Philadelphia Phillies,
DB-38,Tom Seaver,New York Mets,
DB-39,Jim Palmer,Baltimore Orioles,
DB-40,Catfish Hunter,Oakland Athletics,
DB-41,Johnny Bench,Cincinnati Reds,
DB-42,Jim Rice,Boston Red Sox,
DB-43,Willie Stargell,Pittsburgh Pirates,
DB-44,Rod Carew,Minnesota Twins,
DB-45,Joe Morgan,Cincinnati Reds,
DB-46,Reggie Jackson,Oakland Athletics,
DB-47,Mike Schmidt,Philadelphia Phillies,
DB-48,Willie McCovey,San Francisco Giants,
DB-49,George Foster,Cincinnati Reds,
DB-50,Hank Aaron,Atlanta Braves,
DB-51,New York Yankees,New York Yankees,
DB-52,Oakland Athletics,Oakland Athletics,
DB-53,St. Louis Cardinals,St. Louis Cardinals,
DB-54,Detroit Tigers,Detroit Tigers,
DB-55,New York Mets,New York Mets,
DB-56,Kansas City Royals,Kansas City Royals,
DB-57,Los Angeles Dodgers,Los Angeles Dodgers,
DB-58,Philadelphia Phillies,Philadelphia Phillies,
DB-59,Minnesota Twins,Minnesota Twins,
DB-60,Baltimore Orioles,Baltimore Orioles,
DB-61,Bert Blyleven,Cleveland Indians,
DB-62,Steve Carlton,Philadelphia Phillies,
DB-63,Dwight Gooden,New York Mets,
DB-64,Roger Clemens,Boston Red Sox,
DB-65,Nolan Ryan,Houston Astros,
DB-66,Jack Morris,Detroit Tigers,
DB-67,Rollie Fingers,Milwaukee Brewers,
DB-68,Goose Gossage,New York Yankees,
DB-69,Bruce Sutter,St. Louis Cardinals,
DB-70,Dennis Eckersley,Oakland Athletics,
DB-71,Houston Astros,Houston Astros,
DB-72,Montréal Expos,Montréal Expos,
DB-73,Cleveland Indians,Cleveland Indians,
DB-74,Atlanta Braves,Atlanta Braves,
DB-75,New York Yankees,New York Yankees,
DB-76,Toronto Blue Jays,Toronto Blue Jays,
DB-77,Cincinnati Reds,Cincinnati Reds,
DB-78,Pittsburgh Pirates,Pittsburgh Pirates,
DB-79,Texas Rangers,Texas Rangers,
DB-80,Boston Red Sox,Boston Red Sox,
DB-81,Albert Pujols,St. Louis Cardinals,
DB-82,Joe Mauer,Minnesota Twins,
DB-83,Ryan Howard,Philadelphia Phillies,
DB-84,Alex Rodriguez,New York Yankees,
DB-85,Ichiro,Seattle Mariners,
DB-86,Albert Pujols,St. Louis Cardinals,
DB-87,Randy Johnson,Arizona Diamondbacks,
DB-88,Tim Lincecum,San Francisco Giants,
DB-89,Barry Zito,Oakland Athletics,
DB-90,Pedro Martinez,Boston Red Sox,
DB-91,Justin Verlander,Houston Astros,
DB-92,Clayton Kershaw,Los Angeles Dodgers,
DB-93,Max Scherzer,Washington Nationals,
DB-94,Stephen Strasburg,Washington Nationals,
DB-95,Felix Hernandez,Seattle Mariners,
DB-96,Chris Sale,Boston Red Sox,
DB-97,Zack Greinke,Houston Astros,
DB-98,Jacob deGrom,New York Mets,
DB-99,Corey Kluber,Cleveland Indians,
DB-100,Jon Lester,Chicago Cubs,
