card_number,name,team,designations
DN-1,Vladimir Guerrero Jr.,Toronto Blue Jays,
DN-2,Austin Riley,Atlanta Braves,
DN-3,Fernando Tatis Jr.,San Diego Padres,
DN-4,Yordan Alvarez,Houston Astros,RC
DN-5,Ronald Acuña Jr.,Atlanta Braves,
DN-6,Gleyber Torres,New York Yankees,
DN-7,Keston Hiura,Milwaukee Brewers,
DN-8,Brendan Rodgers,Colorado Rockies,
DN-9,Eloy Jimenez,Chicago White Sox,
DN-10,Gavin Lux,Los Angeles Dodgers,RC
DN-11,Pete Alonso,New York Mets,
DN-12,Juan Soto,Washington Nationals,
DN-13,Bo Bichette,Toronto Blue Jays,RC
DN-14,Kyle Tucker,Houston Astros,
DN-15,Nick Senzel,Cincinnati Reds,
DN-16,Ozzie Albies,Atlanta Braves,
DN-17,Walker Buehler,Los Angeles Dodgers,
DN-18,Rafael Devers,Boston Red Sox,
DN-19,Cody Bellinger,Los Angeles Dodgers,
DN-20,Victor Robles,Washington Nationals,
DN-21,Lucas Giolito,Chicago White Sox,
DN-22,Nico Hoerner,Chicago Cubs,RC
DN-23,Shohei Ohtani,Angels,
DN-24,Julio Urias,Los Angeles Dodgers,
DN-25,Chris Paddack,San Diego Padres,
DN-26,Brendan McKay,Tampa Bay Rays,
DN-27,Ramon Laureano,Oakland Athletics,
DN-28,Jesus Luzardo,Oakland Athletics,RC
DN-29,Carter Kieboom,Washington Nationals,
DN-30,Mike Soroka,Atlanta Braves,
