card_number,name,team,designations
ESAW-1,Pete Alonso,New York Mets,
ESAW-2,Pete Alonso,New York Mets,
ESAW-3,Pete Alonso,New York Mets,
ESAW-4,Pete Alonso,New York Mets,
ESAW-5,Pete Alonso,New York Mets,
ESAW-6,Pete Alonso,New York Mets,
ESAW-7,Pete Alonso,New York Mets,
ESAW-8,Pete Alonso,New York Mets,
ESAW-9,Pete Alonso,New York Mets,
ESAW-10,Pete Alonso,New York Mets,
ESAW-11,Pete Alonso,New York Mets,
ESAW-12,Pete Alonso,New York Mets,
ESAW-13,Pete Alonso,New York Mets,
ESAW-14,Pete Alonso,New York Mets,
ESAW-15,Pete Alonso,New York Mets,
ESAW-16,Pete Alonso,New York Mets,
ESAW-17,Pete Alonso,New York Mets,
ESAW-18,Pete Alonso,New York Mets,
ESAW-19,Pete Alonso,New York Mets,
ESAW-20,Pete Alonso,New York Mets,
ESAW-21,Pete Alonso,New York Mets,
ESAW-22,Pete Alonso,New York Mets,
ESAW-23,Pete Alonso,New York Mets,
ESAW-24,Pete Alonso,New York Mets,
ESAW-25,Pete Alonso,New York Mets,
ESAW-26,Pete Alonso,New York Mets,
ESAW-27,Pete Alonso,New York Mets,
ESAW-28,Pete Alonso,New York Mets,
ESAW-29,Pete Alonso,New York Mets,
ESAW-30,Pete Alonso,New York Mets,
