card_number,name,team,designations
FTH-1,Fernando Tatis Jr.,San Diego Padres,
FTH-2,Fernando Tatis Jr.,San Diego Padres,
FTH-3,Fernando Tatis Jr.,San Diego Padres,
FTH-4,Fernando Tatis Jr.,San Diego Padres,
FTH-5,Fernando Tatis Jr.,San Diego Padres,
FTH-6,Fernando Tatis Jr.,San Diego Padres,
FTH-7,Fernando Tatis Jr.,San Diego Padres,
FTH-8,Fernando Tatis Jr.,San Diego Padres,
FTH-9,Fernando Tatis Jr.,San Diego Padres,
FTH-10,Fernando Tatis Jr.,San Diego Padres,
FTH-11,Fernando Tatis Jr.,San Diego Padres,
FTH-12,Fernando Tatis Jr.,San Diego Padres,
FTH-13,Fernando Tatis Jr.,San Diego Padres,
FTH-14,Fernando Tatis Jr.,San Diego Padres,
FTH-15,Fernando Tatis Jr.,San Diego Padres,
FTH-16,Fernando Tatis Jr.,San Diego Padres,
FTH-17,Fernando Tatis Jr.,San Diego Padres,
FTH-18,Fernando Tatis Jr.,San Diego Padres,
FTH-19,Fernando Tatis Jr.,San Diego Padres,
FTH-20,Fernando Tatis Jr.,San Diego Padres,
FTH-21,Fernando Tatis Jr.,San Diego Padres,
FTH-22,Fernando Tatis Jr.,San Diego Padres,
FTH-23,Fernando Tatis Jr.,San Diego Padres,
FTH-24,Fernando Tatis Jr.,San Diego Padres,
FTH-25,Fernando Tatis Jr.,San Diego Padres,
FTH-26,Fernando Tatis Jr.,San Diego Padres,
FTH-27,Fernando Tatis Jr.,San Diego Padres,
FTH-28,Fernando Tatis Jr.,San Diego Padres,
FTH-29,Fernando Tatis Jr.,San Diego Padres,
FTH-30,Fernando Tatis Jr.,San Diego Padres,
