card_number,name,team,designations
VGJ-1,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-2,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-3,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-4,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-5,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-6,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-7,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-8,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-9,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-10,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-11,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-12,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-13,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-14,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-15,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-16,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-17,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-18,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-19,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-20,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-21,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-22,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-23,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-24,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-25,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-26,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-27,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-28,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-29,Vladimir Guerrero Jr.,Toronto Blue Jays,
VGJ-30,Vladimir Guerrero Jr.,Toronto Blue Jays,
