card_number,name,team,designations
T2030-1,Mike Trout,Angels,
T2030-2,Aaron Judge,New York Yankees,
T2030-3,Luis Robert,Chicago White Sox,RC
T2030-4,Francisco Lindor,Cleveland Indians,
T2030-5,Christian Yelich,Milwaukee Brewers,
T2030-6,Gavin Lux,Los Angeles Dodgers,RC
T2030-7,Ronald Acuña Jr.,Atlanta Braves,
T2030-8,Bo Bichette,Toronto Blue Jays,RC
T2030-9,Kris Bryant,Chicago Cubs,
T2030-10,Nolan Arenado,Colorado Rockies,
T2030-11,Pete Alonso,New York Mets,
T2030-12,Juan Soto,Washington Nationals,
T2030-13,Fernando Tatis Jr.,San Diego Padres,
T2030-14,Bryce Harper,Philadelphia Phillies,
T2030-15,Alex Bregman,Houston Astros,
T2030-16,Mookie Betts,Los Angeles Dodgers,
T2030-17,Cody Bellinger,Los Angeles Dodgers,
T2030-18,Vladimir Guerrero Jr.,Toronto Blue Jays,
T2030-19,Javier Baez,Chicago Cubs,
T2030-20,Shohei Ohtani,Angels,
