card_number,name,team,designations
TC-1,Vladimir Guerrero Jr.,Toronto Blue Jays,
TC-2,Yordan Alvarez,Houston Astros,RC
TC-3,Gavin Lux,Los Angeles Dodgers,RC
TC-4,Babe Ruth,New York Yankees,
TC-5,Pete Alonso,New York Mets,
TC-6,Ronald Acuña Jr.,Atlanta Braves,
TC-7,Mike Trout,Angels,
TC-8,Clayton Kershaw,Los Angeles Dodgers,
TC-9,Ichiro,Seattle Mariners,
TC-10,Don Mattingly,New York Yankees,
TC-11,Randy Johnson,Seattle Mariners,
TC-12,Ty Cobb,Detroit Tigers,
TC-13,Fernando Tatis Jr.,San Diego Padres,
TC-14,Mookie Betts,Boston Red Sox,
TC-15,Yadier Molina,St. Louis Cardinals,
TC-16,Kris Bryant,Chicago Cubs,
TC-17,Christian Yelich,Milwaukee Brewers,
TC-18,Aaron Judge,New York Yankees,
TC-19,Cody Bellinger,Los Angeles Dodgers,
TC-20,Bryce Harper,Philadelphia Phillies,
TC-21,Jose Altuve,Houston Astros,
TC-22,Cal Ripken Jr.,Baltimore Orioles,
TC-23,Ken Griffey Jr.,Seattle Mariners,
TC-24,Shohei Ohtani,Angels,
TC-25,Ryne Sandberg,Chicago Cubs,
