card_number,name,team,designations
MT-1,Mike Trout,Angels,
MT-2,Mike Trout,Angels,
MT-3,Mike Trout,Angels,
MT-4,Mike Trout,Angels,
MT-5,Mike Trout,Angels,
MT-6,Mike Trout,Angels,
MT-7,Mike Trout,Angels,
MT-8,Mike Trout,Angels,
MT-9,Mike Trout,Angels,
MT-10,Mike Trout,Angels,
MT-11,Mike Trout,Angels,
MT-12,Mike Trout,Angels,
MT-13,Mike Trout,Angels,
MT-14,Mike Trout,Angels,
MT-15,Mike Trout,Angels,
MT-16,Mike Trout,Angels,
MT-17,Mike Trout,Angels,
MT-18,Mike Trout,Angels,
MT-19,Mike Trout,Angels,
MT-20,Mike Trout,Angels,
MT-21,Mike Trout,Angels,
MT-22,Mike Trout,Angels,
MT-23,Mike Trout,Angels,
MT-24,Mike Trout,Angels,
MT-25,Mike Trout,Angels,
