card_number,name,team,designations
OTR-1,Mike Trout,Angels,
OTR-2,Shohei Ohtani,Angels,
OTR-3,Ketel Marte,Arizona Diamondbacks,
OTR-4,Ronald Acuña Jr.,Atlanta Braves,
OTR-5,Freddie Freeman,Atlanta Braves,
OTR-6,Trey Mancini,Baltimore Orioles,
OTR-7,Mookie Betts,Boston Red Sox,
OTR-8,Rafael Devers,Boston Red Sox,
OTR-9,Javier Baez,Chicago Cubs,
OTR-10,Kris Bryant,Chicago Cubs,
OTR-11,Nico Hoerner,Chicago Cubs,RC
OTR-12,Eloy Jimenez,Chicago White Sox,
OTR-13,Aristides Aquino,Cincinnati Reds,RC
OTR-14,Francisco Lindor,Cleveland Indians,
OTR-15,Nolan Arenado,Colorado Rockies,
OTR-16,Miguel Cabrera,Detroit Tigers,
OTR-17,Jose Altuve,Houston Astros,
OTR-18,Alex Bregman,Houston Astros,
OTR-19,Yordan Alvarez,Houston Astros,
OTR-20,Justin Verlander,Houston Astros,
OTR-21,Whit Merrifield,Kansas City Royals,
OTR-22,Cody Bellinger,Los Angeles Dodgers,
OTR-23,Clayton Kershaw,Los Angeles Dodgers,
OTR-24,Gavin Lux,Los Angeles Dodgers,RC
OTR-25,Christian Yelich,Milwaukee Brewers,
OTR-26,Keston Hiura,Milwaukee Brewers,RC
OTR-27,Max Kepler,Minnesota Twins,
OTR-28,Pete Alonso,New York Mets,
OTR-29,Jacob deGrom,New York Mets,
OTR-30,Gleyber Torres,New York Yankees,
OTR-31,Aaron Judge,New York Yankees,
OTR-32,Giancarlo Stanton,New York Yankees,
OTR-33,Matt Chapman,Oakland Athletics,
OTR-34,Jesus Luzardo,Oakland Athletics,RC
OTR-35,Bryce Harper,Philadelphia Phillies,
OTR-36,Rhys Hoskins,Philadelphia Phillies,
OTR-37,Josh Bell,Pittsburgh Pirates,
OTR-38,Manny Machado,San Diego Padres,
OTR-39,Fernando Tatis Jr.,San Diego Padres,
OTR-40,Buster Posey,San Francisco Giants,
OTR-41,Kyle Lewis,Seattle Mariners,RC
OTR-42,Yadier Molina,St. Louis Cardinals,
OTR-43,Paul Goldschmidt,St. Louis Cardinals,
OTR-44,Brendan McKay,Tampa Bay Rays,RC
OTR-45,Joey Gallo,Texas Rangers,
OTR-46,Vladimir Guerrero Jr.,Toronto Blue Jays,
OTR-47,Bo Bichette,Toronto Blue Jays,RC
OTR-48,Juan Soto,Washington Nationals,
OTR-49,Max Scherzer,Washington Nationals,
OTR-50,Anthony Rendon,Washington Nationals,
