card_number,name,team,designations
TRC-1,Bryce Harper,Philadelphia Phillies,
TRC-2,Ronald Acuña Jr.,Atlanta Braves,
TRC-3,Ketel Marte,Arizona Diamondbacks,
TRC-4,Adam Jones,Arizona Diamondbacks,
TRC-5,Zack Greinke,Houston Astros,
TRC-6,Freddie Freeman,Atlanta Braves,
TRC-7,Nick Markakis,Atlanta Braves,
TRC-8,Ozzie Albies,Atlanta Braves,
TRC-9,Trey Mancini,Baltimore Orioles,
TRC-10,Sean Murphy,Oakland Athletics,RC
TRC-11,Dustin May,Los Angeles Dodgers,RC
TRC-12,John Means,Baltimore Orioles,
TRC-13,Mookie Betts,Boston Red Sox,
TRC-14,J.D. Martinez,Boston Red Sox,
TRC-15,Chris Sale,Boston Red Sox,
TRC-16,Tim Anderson,Chicago White Sox,
TRC-17,Yoan Moncada,Chicago White Sox,
TRC-18,Eloy Jimenez,Chicago White Sox,
TRC-19,Willson Contreras,Chicago Cubs,
TRC-20,Javier Baez,Chicago Cubs,
TRC-21,Kris Bryant,Chicago Cubs,
TRC-22,Kyle Schwarber,Chicago Cubs,
TRC-23,Nick Senzel,Cincinnati Reds,
TRC-24,Yasiel Puig,Cleveland Indians,
TRC-25,Luis Castillo,Cincinnati Reds,
TRC-26,Francisco Lindor,Cleveland Indians,
TRC-27,Rafael Devers,Boston Red Sox,
TRC-28,Jose Ramirez,Cleveland Indians,
TRC-29,Nolan Arenado,Colorado Rockies,
TRC-30,Charlie Blackmon,Colorado Rockies,
TRC-31,Brendan Rodgers,Colorado Rockies,
TRC-32,Brendan McKay,Tampa Bay Rays,RC
TRC-33,Matthew Boyd,Detroit Tigers,
TRC-34,Miguel Cabrera,Detroit Tigers,
TRC-35,Jose Altuve,Houston Astros,
TRC-36,Alex Bregman,Houston Astros,
TRC-37,Yordan Alvarez,Houston Astros,RC
TRC-38,Justin Verlander,Houston Astros,
TRC-39,A.J. Puk,Oakland Athletics,RC
TRC-40,Whit Merrifield,Kansas City Royals,
TRC-41,Nico Hoerner,Chicago Cubs,RC
TRC-42,Cody Bellinger,Los Angeles Dodgers,
TRC-43,Clayton Kershaw,Los Angeles Dodgers,
TRC-44,Walker Buehler,Los Angeles Dodgers,
TRC-45,Albert Pujols,Angels,
TRC-46,Mike Trout,Angels,
TRC-47,Shohei Ohtani,Angels,
TRC-48,Brian Anderson,Miami Marlins,
TRC-49,Jesus Luzardo,Oakland Athletics,RC
TRC-50,Zac Gallen,Arizona Diamondbacks,RC
TRC-51,Christian Yelich,Milwaukee Brewers,
TRC-52,Lorenzo Cain,Milwaukee Brewers,
TRC-53,Josh Hader,Milwaukee Brewers,
TRC-54,Eddie Rosario,Minnesota Twins,
TRC-55,Nelson Cruz,Minnesota Twins,
TRC-56,Xander Bogaerts,Boston Red Sox,
TRC-57,Max Kepler,Minnesota Twins,
TRC-58,Gary Sanchez,New York Yankees,
TRC-59,Gleyber Torres,New York Yankees,
TRC-60,Aaron Judge,New York Yankees,
TRC-61,Giancarlo Stanton,New York Yankees,
TRC-62,Masahiro Tanaka,New York Yankees,
TRC-63,Pete Alonso,New York Mets,
TRC-64,Jeff McNeil,New York Mets,
TRC-65,Jacob deGrom,New York Mets,
TRC-66,Matt Chapman,Oakland Athletics,
TRC-67,Khris Davis,Oakland Athletics,
TRC-68,Matt Olson,Oakland Athletics,
TRC-69,Rhys Hoskins,Philadelphia Phillies,
TRC-70,Aaron Nola,Philadelphia Phillies,
TRC-71,Gerrit Cole,Houston Astros,
TRC-72,Josh Bell,Pittsburgh Pirates,
TRC-73,Gavin Lux,Los Angeles Dodgers,RC
TRC-74,Chris Archer,Pittsburgh Pirates,
TRC-75,Manny Machado,San Diego Padres,
TRC-76,Fernando Tatis Jr.,San Diego Padres,
TRC-77,Buster Posey,San Francisco Giants,
TRC-78,Brandon Crawford,San Francisco Giants,
TRC-79,Yusei Kikuchi,Seattle Mariners,
TRC-80,Keston Hiura,Milwaukee Brewers,
TRC-81,Yadier Molina,St. Louis Cardinals,
TRC-82,Marcell Ozuna,St. Louis Cardinals,
TRC-83,Paul Goldschmidt,St. Louis Cardinals,
TRC-84,Austin Meadows,Tampa Bay Rays,
TRC-85,Blake Snell,Tampa Bay Rays,
TRC-86,Charlie Morton,Tampa Bay Rays,
TRC-87,Joey Gallo,Texas Rangers,
TRC-88,Shin-Soo Choo,Texas Rangers,
TRC-89,Kyle Lewis,Seattle Mariners,RC
TRC-90,Cavan Biggio,Toronto Blue Jays,
TRC-91,Vladimir Guerrero Jr.,Toronto Blue Jays,
TRC-92,Marcus Stroman,New York Mets,
TRC-93,Aristides Aquino,Cincinnati Reds,RC
TRC-94,Bo Bichette,Toronto Blue Jays,RC
TRC-95,Juan Soto,Washington Nationals,
TRC-96,Max Scherzer,Washington Nationals,
TRC-97,Anthony Rendon,Washington Nationals,
TRC-98,Sean Doolittle,Washington Nationals,
TRC-99,Gio Urshela,New York Yankees,
TRC-100,George Springer,Houston Astros,
