card_number,name,team,designations
TR-1,Bryce Harper,Philadelphia Phillies,
TR-2,Ronald Acuña Jr.,Atlanta Braves,
TR-3,Ketel Marte,Arizona Diamondbacks,
TR-4,Adam Jones,Arizona Diamondbacks,
TR-5,Zack Greinke,Houston Astros,
TR-6,Freddie Freeman,Atlanta Braves,
TR-7,Nick Markakis,Atlanta Braves,
TR-8,Ozzie Albies,Atlanta Braves,
TR-9,Trey Mancini,Baltimore Orioles,
TR-10,Sean Murphy,Oakland Athletics,RC
TR-11,Dustin May,Los Angeles Dodgers,RC
TR-12,John Means,Baltimore Orioles,
TR-13,Mookie Betts,Boston Red Sox,
TR-14,J.D. Martinez,Boston Red Sox,
TR-15,Chris Sale,Boston Red Sox,
TR-16,Tim Anderson,Chicago White Sox,
TR-17,Yoan Moncada,Chicago White Sox,
TR-18,Eloy Jimenez,Chicago White Sox,
TR-19,Willson Contreras,Chicago Cubs,
TR-20,Javier Baez,Chicago Cubs,
TR-21,Kris Bryant,Chicago Cubs,
TR-22,Kyle Schwarber,Chicago Cubs,
TR-23,Nick Senzel,Cincinnati Reds,
TR-24,Yasiel Puig,Cleveland Indians,
TR-25,Luis Castillo,Cincinnati Reds,
TR-26,Francisco Lindor,Cleveland Indians,
TR-27,Rafael Devers,Boston Red Sox,
TR-28,Jose Ramirez,Cleveland Indians,
TR-29,Nolan Arenado,Colorado Rockies,
TR-30,Charlie Blackmon,Colorado Rockies,
TR-31,Brendan Rodgers,Colorado Rockies,
TR-32,Brendan McKay,Tampa Bay Rays,RC
TR-33,Matthew Boyd,Detroit Tigers,
TR-34,Miguel Cabrera,Detroit Tigers,
TR-35,Jose Altuve,Houston Astros,
TR-36,Alex Bregman,Houston Astros,
TR-37,Yordan Alvarez,Houston Astros,RC
TR-38,Justin Verlander,Houston Astros,
TR-39,A.J. Puk,Oakland Athletics,RC
TR-40,Whit Merrifield,Kansas City Royals,
TR-41,Nico Hoerner,Chicago Cubs,RC
TR-42,Cody Bellinger,Los Angeles Dodgers,
TR-43,Clayton Kershaw,Los Angeles Dodgers,
TR-44,Walker Buehler,Los Angeles Dodgers,
TR-45,Albert Pujols,Angels,
TR-46,Mike Trout,Angels,
TR-47,Shohei Ohtani,Angels,
TR-48,Brian Anderson,Miami Marlins,
TR-49,Jesus Luzardo,Oakland Athletics,RC
TR-50,Zac Gallen,Arizona Diamondbacks,RC
TR-51,Christian Yelich,Milwaukee Brewers,
TR-52,Lorenzo Cain,Milwaukee Brewers,
TR-53,Josh Hader,Milwaukee Brewers,
TR-54,Eddie Rosario,Minnesota Twins,
TR-55,Nelson Cruz,Minnesota Twins,
TR-56,Xander Bogaerts,Boston Red Sox,
TR-57,Max Kepler,Minnesota Twins,
TR-58,Gary Sanchez,New York Yankees,
TR-59,Gleyber Torres,New York Yankees,
TR-60,Aaron Judge,New York Yankees,
TR-61,Giancarlo Stanton,New York Yankees,
TR-62,Masahiro Tanaka,New York Yankees,
TR-63,Pete Alonso,New York Mets,
TR-64,Jeff McNeil,New York Mets,
TR-65,Jacob deGrom,New York Mets,
TR-66,Matt Chapman,Oakland Athletics,
TR-67,Khris Davis,Oakland Athletics,
TR-68,Matt Olson,Oakland Athletics,
TR-69,Rhys Hoskins,Philadelphia Phillies,
TR-70,Aaron Nola,Philadelphia Phillies,
TR-71,Gerrit Cole,Houston Astros,
TR-72,Josh Bell,Pittsburgh Pirates,
TR-73,Gavin Lux,Los Angeles Dodgers,RC
TR-74,Chris Archer,Pittsburgh Pirates,
TR-75,Manny Machado,San Diego Padres,
TR-76,Fernando Tatis Jr.,San Diego Padres,
TR-77,Buster Posey,San Francisco Giants,
TR-78,Brandon Crawford,San Francisco Giants,
TR-79,Yusei Kikuchi,Seattle Mariners,
TR-80,Keston Hiura,Milwaukee Brewers,
TR-81,Yadier Molina,St. Louis Cardinals,
TR-82,Marcell Ozuna,St. Louis Cardinals,
TR-83,Paul Goldschmidt,St. Louis Cardinals,
TR-84,Austin Meadows,Tampa Bay Rays,
TR-85,Blake Snell,Tampa Bay Rays,
TR-86,Charlie Morton,Tampa Bay Rays,
TR-87,Joey Gallo,Texas Rangers,
TR-88,Shin-Soo Choo,Texas Rangers,
TR-89,Kyle Lewis,Seattle Mariners,RC
TR-90,Cavan Biggio,Toronto Blue Jays,
TR-91,Vladimir Guerrero Jr.,Toronto Blue Jays,
TR-92,Marcus Stroman,New York Mets,
TR-93,Aristides Aquino,Cincinnati Reds,RC
TR-94,Bo Bichette,Toronto Blue Jays,RC
TR-95,Juan Soto,Washington Nationals,
TR-96,Max Scherzer,Washington Nationals,
TR-97,Anthony Rendon,Washington Nationals,
TR-98,Sean Doolittle,Washington Nationals,
TR-99,Gio Urshela,New York Yankees,
TR-100,George Springer,Houston Astros,
