card_number,name,team,designations
WOD-1,Babe Ruth,New York Yankees,
WOD-2,Joe Morgan,Cincinnati Reds,
WOD-3,Hank Aaron,Atlanta Braves,
WOD-4,Willie Mays,San Francisco Giants,
WOD-5,Roger Clemens,Boston Red Sox,
WOD-6,Tom Seaver,New York Mets,
WOD-7,Rickey Henderson,Oakland Athletics,
WOD-8,Lou Gehrig,New York Yankees,
WOD-9,Alex Rodriguez,New York Yankees,
WOD-10,Honus Wagner,Pittsburgh Pirates,
WOD-11,Stan Musial,St. Louis Cardinals,
WOD-12,Ted Williams,Boston Red Sox,
WOD-13,Ty Cobb,Detroit Tigers,
WOD-14,Mike Schmidt,Philadelphia Phillies,
WOD-15,Randy Johnson,Arizona Diamondbacks,
WOD-16,Albert Pujols,Angels,
WOD-17,Carl Yastrzemski,Boston Red Sox,
WOD-18,Warren Spahn,Milwaukee Braves,
WOD-19,Mike Trout,Angels,
WOD-20,Dwight Gooden,New York Mets,
WOD-21,Steve Carlton,Philadelphia Phillies,
WOD-22,Bob Gibson,St. Louis Cardinals,
WOD-23,Pedro Martinez,Boston Red Sox,
WOD-24,Sandy Koufax,Los Angeles Dodgers,
WOD-25,Jacob deGrom,New York Mets,
WOD-26,Justin Verlander,Houston Astros,
WOD-27,Max Scherzer,Washington Nationals,
WOD-28,Nolan Ryan,California Angels,
WOD-29,Clayton Kershaw,Los Angeles Dodgers,
WOD-30,Tom Glavine,Atlanta Braves,
WOD-31,Cal Ripken Jr.,Baltimore Orioles,
WOD-32,Mookie Betts,Los Angeles Dodgers,
WOD-33,Chipper Jones,Atlanta Braves,
WOD-34,Ernie Banks,Chicago Cubs,
WOD-35,Cody Bellinger,Los Angeles Dodgers,
WOD-36,Christian Yelich,Milwaukee Brewers,
WOD-37,Alex Bregman,Houston Astros,
WOD-38,Bryce Harper,Philadelphia Phillies,
WOD-39,Ken Griffey Jr.,Seattle Mariners,
WOD-40,George Brett,Kansas City Royals,
WOD-41,Jackie Robinson,Brooklyn Dodgers,
WOD-42,Roberto Clemente,Pittsburgh Pirates,
WOD-43,Frank Robinson,Baltimore Orioles,
WOD-44,Frank Thomas,Chicago White Sox,
WOD-45,Johnny Bench,Cincinnati Reds,
WOD-46,Eddie Mathews,Milwaukee Braves,
WOD-47,Rod Carew,Minnesota Twins,
WOD-48,Robin Yount,Milwaukee Brewers,
WOD-49,Al Kaline,Detroit Tigers,
WOD-50,Wade Boggs,Boston Red Sox,
