card_number,name,team,designations
85R-AB,Alex Bregman,Houston Astros,
85R-AJ,Aaron Judge,New York Yankees,
85R-AP,Albert Pujols,Angels,
85R-BH,Bryce Harper,Philadelphia Phillies,
85R-BL,Barry Larkin,Cincinnati Reds,
85R-BP,Buster Posey,San Francisco Giants,
85R-CB,Charlie Blackmon,Colorado Rockies,
85R-CBE,Cody Bellinger,Los Angeles Dodgers,
85R-CR,Cal Ripken Jr.,Baltimore Orioles,
85R-DM,Don Mattingly,New York Yankees,
85R-EM,Eddie Murray,Baltimore Orioles,
85R-FF,Freddie Freeman,Atlanta Braves,
85R-FL,Francisco Lindor,Cleveland Indians,
85R-FT,Fernando Tatis Jr.,San Diego Padres,
85R-FTH,Frank Thomas,Chicago White Sox,
85R-GB,George Brett,Kansas City Royals,
85R-GS,George Springer,Houston Astros,
85R-GT,Gleyber Torres,New York Yankees,
85R-HR,Hyun-Jin Ryu,Los Angeles Dodgers,
85R-JBZ,Javier Baez,Chicago Cubs,
85R-JS,Juan Soto,Washington Nationals,
85R-KB,Kris Bryant,Chicago Cubs,
85R-KG,Ken Griffey Jr.,Seattle Mariners,
85R-KH,Keston Hiura,Milwaukee Brewers,
85R-MB,Mookie Betts,Boston Red Sox,
85R-MC,Miguel Cabrera,Detroit Tigers,
85R-MK,Max Kepler,Minnesota Twins,
85R-MM,Manny Machado,San Diego Padres,
85R-MMG,Mark McGwire,Oakland Athletics,
85R-MS,Max Scherzer,Washington Nationals,
85R-MT,Mike Trout,Angels,
85R-NA,Nolan Arenado,Colorado Rockies,
85R-NR,Nolan Ryan,Houston Astros,
85R-OS,Ozzie Smith,St. Louis Cardinals,
85R-PA,Pete Alonso,New York Mets,
85R-PG,Paul Goldschmidt,St. Louis Cardinals,
85R-RA,Ronald Acuña Jr.,Atlanta Braves,
85R-RC,Roger Clemens,Boston Red Sox,
85R-RD,Rafael Devers,Boston Red Sox,
85R-RH,Rickey Henderson,Oakland Athletics,
85R-RHO,Rhys Hoskins,Philadelphia Phillies,
85R-RJ,Reggie Jackson,California Angels,
85R-RS,Ryne Sandberg,Chicago Cubs,
85R-RY,Robin Yount,Milwaukee Brewers,
85R-TG,Tony Gwynn,San Diego Padres,
85R-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
85R-WB,Wade Boggs,Boston Red Sox,
85R-WC,Will Clark,San Francisco Giants,
85R-WM,Whit Merrifield,Kansas City Royals,
85R-XB,Xander Bogaerts,Boston Red Sox,
85TR-AJ,Aaron Judge,New York Yankees,
85TR-AM,Andrew McCutchen,Philadelphia Phillies,
85TR-AN,Aaron Nola,Philadelphia Phillies,
85TR-AR,Anthony Rizzo,Chicago Cubs,
85TR-BB,Bo Bichette,Toronto Blue Jays,RC
85TR-CK,Clayton Kershaw,Los Angeles Dodgers,
85TR-CP,Chris Paddack,San Diego Padres,
85TR-CS,Corey Seager,Los Angeles Dodgers,
85TR-CSA,Chris Sale,Boston Red Sox,
85TR-CSO,Carlos Santana,Cleveland Indians,
85TR-CY,Christian Yelich,Milwaukee Brewers,
85TR-DV,Dan Vogelbach,Seattle Mariners,
85TR-EA,Elvis Andrus,Texas Rangers,
85TR-ER,Eddie Rosario,Minnesota Twins,
85TR-ES,Eugenio Suarez,Cincinnati Reds,
85TR-GS,Gary Sanchez,New York Yankees,
85TR-GSA,Giancarlo Stanton,New York Yankees,
85TR-JA,Jose Altuve,Houston Astros,
85TR-JF,Jack Flaherty,St. Louis Cardinals,
85TR-JG,Joey Gallo,Texas Rangers,
85TR-JM,J.D. Martinez,Boston Red Sox,
85TR-JR,J.T. Realmuto,Philadelphia Phillies,
85TR-JS,Jorge Soler,Kansas City Royals,
85TR-JV,Joey Votto,Cincinnati Reds,
85TR-JVE,Justin Verlander,Houston Astros,
85TR-Jd,Jacob deGrom,New York Mets,
85TR-KS,Kyle Schwarber,Chicago Cubs,
85TR-LC,Lorenzo Cain,Milwaukee Brewers,
85TR-LG,Lourdes Gurriel Jr.,Toronto Blue Jays,
85TR-LS,Luis Severino,New York Yankees,
85TR-MCO,Michael Conforto,New York Mets,
85TR-MO,Matt Olson,Oakland Athletics,
85TR-MS,Marcus Semien,Oakland Athletics,
85TR-MSA,Miguel Sano,Minnesota Twins,
85TR-MT,Mike Trout,Angels,
85TR-MY,Mike Yastrzemski,San Francisco Giants,
85TR-NS,Noah Syndergaard,New York Mets,
85TR-OA,Ozzie Albies,Atlanta Braves,
85TR-PD,Paul DeJong,St. Louis Cardinals,
85TR-RA,Ronald Acuña Jr.,Atlanta Braves,
85TR-RC,Robinson Cano,New York Mets,
85TR-SB,Shane Bieber,Cleveland Indians,
85TR-SG,Sonny Gray,Cincinnati Reds,
85TR-SO,Shohei Ohtani,Angels,
85TR-SS,Stephen Strasburg,Washington Nationals,
85TR-TS,Trevor Story,Colorado Rockies,
85TR-WB,Walker Buehler,Los Angeles Dodgers,
85TR-YA,Yordan Alvarez,Houston Astros,RC
85TR-YM,Yadier Molina,St. Louis Cardinals,
