card_number,name,team,designations
CS-BD,Bill Dickey,New York Yankees,
CS-BF,Bob Feller,Cleveland Indians,
CS-BG,Burleigh Grimes,Brooklyn Dodgers,
CS-BH,Billy Herman,Chicago Cubs,
CS-CG,Charlie Gehringer,Detroit Tigers,
CS-CM,Connie Mack Philadelphia,Athletics,
CS-CS,Casey Stengel,New York Yankees,
CS-CY,Cy Young,Boston Red Sox,
CS-DD,Don Drysdale,Los Angeles Dodgers,
CS-DDE,Dizzy Dean,St. Louis Cardinals,
CS-DL,Don Larsen,New York Yankees,
CS-DS,Duke Snider,Brooklyn Dodgers,
CS-EB,Ernie Banks,Chicago Cubs,
CS-EM,Eddie Mathews,Milwaukee Braves,
CS-FF,Frankie Frisch,St. Louis Cardinals,
CS-GH,Gil Hodges,Brooklyn Dodgers,
CS-GK,George Kell,Detroit Tigers,
CS-GKP,"George ""High pockets"" Kelly",New York Giants,
CS-HG,Hank Greenberg,Detroit Tigers,
CS-HW,Hoyt Wilhelm,Chicago White Sox,
CS-JD,Joe DiMaggio,New York Yankees,
CS-JH,"Jim ""Catfish"" Hunter",Oakland Athletics,
CS-JR,Jackie Robinson,Brooklyn Dodgers,
CS-LD,Larry Doby,Cleveland Indians,
CS-LG,Lefty Grove Philadelphia,Athletics,
CS-MI,Monte Irvin,New York Giants,
CS-NF,Nellie Fox,Chicago White Sox,
CS-PR,Phil Rizzuto,New York Yankees,
CS-PRE,Pee Wee Reese,Brooklyn Dodgers,
CS-RC,Roberto Clemente,Pittsburgh Pirates,
CS-RK,Ralph Kiner,Pittsburgh Pirates,
CS-RM,Roger Maris,New York Yankees,
CS-SC,Stan Coveleski,Cleveland Indians,
CS-SM,Stan Musial,St. Louis Cardinals,
CS-SP,Satchel Paige,Cleveland Indians,
CS-TC,Ty Cobb,Detroit Tigers,
CS-TG,Tony Gwynn,San Diego Padres,
CS-TW,Ted Williams,Boston Red Sox,
CS-WH,Waite Hoyt,New York Yankees,
CS-WS,Warren Spahn,Milwaukee Braves,
