card_number,name,team,designations
GGM-AB,Alex Bregman,Houston Astros,
GGM-AC,Aroldis Chapman,New York Yankees,
GGM-AJ,Aaron Judge,New York Yankees,
GGM-AP,Albert Pujols,Angels,
GGM-AV,Alex Verdugo,Los Angeles Dodgers,
GGM-BH,Bryce Harper,Philadelphia Phillies,
GGM-BP,Buster Posey,San Francisco Giants,
GGM-CB,Cody Bellinger,Los Angeles Dodgers,
GGM-CC,Carlos Correa,Houston Astros,
GGM-CK,Clayton Kershaw,Los Angeles Dodgers,
GGM-CY,Christian Yelich,Milwaukee Brewers,
GGM-DG,Didi Gregorius,New York Yankees,
GGM-DO,David Ortiz,Boston Red Sox,
GGM-EJ,Eloy Jimenez,Chicago White Sox,
GGM-FF,Freddie Freeman,Atlanta Braves,
GGM-FL,Francisco Lindor,Cleveland Indians,
GGM-GS,Gary Sanchez,New York Yankees,
GGM-GT,Gleyber Torres,New York Yankees,
GGM-HM,Hideki Matsui,New York Yankees,
GGM-I,Ichiro,Seattle Mariners,
GGM-JA,Jose Altuve,Houston Astros,
GGM-JB,Javier Baez,Chicago Cubs,
GGM-JS,Juan Soto,Washington Nationals,
GGM-JT,Jameson Taillon,Pittsburgh Pirates,
GGM-JU,Julio Urias,Los Angeles Dodgers,
GGM-JV,Joey Votto,Cincinnati Reds,
GGM-KB,Kris Bryant,Chicago Cubs,
GGM-KD,Khris Davis,Oakland Athletics,
GGM-KG,Ken Griffey Jr.,Seattle Mariners,
GGM-LU,Luis Urias,San Diego Padres,
GGM-MA,Masahiro Tanaka,New York Yankees,
GGM-MB,Mookie Betts,Boston Red Sox,
GGM-MC,Miguel Cabrera,Detroit Tigers,
GGM-MM,Manny Machado,San Diego Padres,
GGM-MT,Mike Trout,Angels,
GGM-OA,Ozzie Albies,Atlanta Braves,
GGM-RA,Ronald Acuña Jr.,Atlanta Braves,
GGM-RC,Roberto Clemente,Pittsburgh Pirates,
GGM-RD,Rafael Devers,Boston Red Sox,
GGM-RO,Robinson Cano,New York Mets,
GGM-SO,Shohei Ohtani,Angels,
GGM-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
GGM-WC,Willson Contreras,Chicago Cubs,
GGM-XB,Xander Bogaerts,Boston Red Sox,
GGM-YA,Yordan Alvarez,Houston Astros,
GGM-YD,Yu Darvish,Chicago Cubs,
GGM-YG,Yasmani Grandal,Milwaukee Brewers,
GGM-YM,Yadier Molina,St. Louis Cardinals,
GGM-YO,Yoan Moncada,Chicago White Sox,
GGM-YP,Yasiel Puig,Cleveland Indians,
