card_number,name,team,designations
ITN-AB,Alex Bregman,Houston Astros,
ITN-AC,Aroldis Chapman,New York Yankees,
ITN-AM,Austin Meadows,Tampa Bay Rays,
ITN-CB,Charlie Blackmon,Colorado Rockies,
ITN-CBE,Cody Bellinger,Los Angeles Dodgers,
ITN-CK,Clayton Kershaw,Los Angeles Dodgers,
ITN-CM,Charlie Morton,Tampa Bay Rays,
ITN-CS,Carlos Santana,Cleveland Indians,
ITN-CY,Christian Yelich,Milwaukee Brewers,
ITN-DD,David Dahl,Colorado Rockies,
ITN-DL,DJ LeMahieu,New York Yankees,
ITN-DV,Daniel Vogelbach,Seattle Mariners,
ITN-FF,Freddie Freeman,Atlanta Braves,
ITN-FL,Francisco Lindor,Cleveland Indians,
ITN-GC,Gerrit Cole,Houston Astros,
ITN-GS,George Springer,Houston Astros,
ITN-GSA,Gary Sanchez,New York Yankees,
ITN-GT,Gleyber Torres,New York Yankees,
ITN-HP,Hunter Pence,Texas Rangers,
ITN-HR,Hyun-Jin Ryu,Los Angeles Dodgers,
ITN-JA,Jose Abreu,Chicago White Sox,
ITN-JBE,Josh Bell,Pittsburgh Pirates,
ITN-JBZ,Javier Baez,Chicago Cubs,
ITN-JD,Jacob deGrom,New York Mets,
ITN-JG,Joey Gallo,Texas Rangers,
ITN-JH,Josh Hader,Milwaukee Brewers,
ITN-JM,James McCann,Chicago White Sox,
ITN-JMA,J.D. Martinez,Boston Red Sox,
ITN-JMC,Jeff McNeil,New York Mets,
ITN-JME,John Means,Baltimore Orioles,
ITN-JO,Jake Odorizzi,Minnesota Twins,
ITN-JP,Jorge Polanco,Minnesota Twins,
ITN-JR,J.T. Realmuto,Philadelphia Phillies,
ITN-JV,Justin Verlander,Houston Astros,
ITN-KB,Kris Bryant,Chicago Cubs,
ITN-KM,Ketel Marte,Arizona Diamondbacks,
ITN-KY,Kirby Yates,San Diego Padres,
ITN-LG,Lucas Giolito,Chicago White Sox,
ITN-LH,Liam Hendriks,Oakland Athletics,
ITN-MB,Mookie Betts,Boston Red Sox,
ITN-MBR,Michael Brantley,Houston Astros,
ITN-MC,Matt Chapman,Oakland Athletics,
ITN-MM,Mike Minor,Texas Rangers,
ITN-MMO,Mike Moustakas,Milwaukee Brewers,
ITN-MMU,Max Muncy,Los Angeles Dodgers,
ITN-MS,Mike Soroka,Atlanta Braves,
ITN-MSC,Max Scherzer,Washington Nationals,
ITN-MT,Masahiro Tanaka,New York Yankees,
ITN-MTR,Mike Trout,Angels,
ITN-PA,Pete Alonso,New York Mets,
ITN-PD,Paul DeJong,St. Louis Cardinals,
ITN-RA,Ronald Acuña Jr.,Atlanta Braves,
ITN-SA,Sandy Alcantara,Miami Marlins,
ITN-SGR,Sonny Gray,Cincinnati Reds,
ITN-TS,Trevor Story,Colorado Rockies,
ITN-WB,Walker Buehler,Los Angeles Dodgers,
ITN-WC,Willson Contreras,Chicago Cubs,
ITN-WM,Whit Merrifield,Kansas City Royals,
ITN-WS,Will Smith,San Francisco Giants,
ITN-YG,Yasmani Grandal,Milwaukee Brewers,
