card_number,name,team,designations
JSES-AA,Aristides Aquino,Cincinnati Reds,RC
JSES-AJ,Aaron Judge,New York Yankees,
JSES-AME,Austin Meadows,Tampa Bay Rays,
JSES-AR,Anthony Rizzo,Chicago Cubs,
JSES-BL,Brandon Lowe,Tampa Bay Rays,
JSES-BP,Buster Posey,San Francisco Giants,
JSES-BS,Blake Snell,Tampa Bay Rays,
JSES-CB,Charlie Blackmon,Colorado Rockies,
JSES-CBE,Cody Bellinger,Los Angeles Dodgers,
JSES-CC,Carlos Correa,Houston Astros,
JSES-CK,Clayton Kershaw,Los Angeles Dodgers,
JSES-CP,Chris Paddack,San Diego Padres,
JSES-DV,Daniel Vogelbach,Seattle Mariners,
JSES-EA,Elvis Andrus,Texas Rangers,
JSES-EL,Evan Longoria,San Francisco Giants,
JSES-FF,Freddie Freeman,Atlanta Braves,
JSES-FH,Felix Hernandez,Seattle Mariners,
JSES-FT,Fernando Tatis Jr.,San Diego Padres,
JSES-GS,George Springer,Houston Astros,
JSES-GSA,Gary Sanchez,New York Yankees,
JSES-GT,Gleyber Torres,New York Yankees,
JSES-JA,Jose Altuve,Houston Astros,
JSES-JB,Javier Baez,Chicago Cubs,
JSES-JB2,Javier Baez,Chicago Cubs,
JSES-JG,Joey Gallo,Texas Rangers,
JSES-JM,J.D. Martinez,Boston Red Sox,
JSES-JS,Jorge Soler,Kansas City Royals,
JSES-JV,Joey Votto,Cincinnati Reds,
JSES-KB,Kris Bryant,Chicago Cubs,
JSES-MC,Matt Chapman,Oakland Athletics,
JSES-MH,Mitch Haniger,Seattle Mariners,
JSES-MM,Manny Machado,San Diego Padres,
JSES-MMU,Max Muncy,Los Angeles Dodgers,
JSES-MO,Matt Olson,Oakland Athletics,
JSES-MS,Marcus Semien,Oakland Athletics,
JSES-MSC,Max Scherzer,Washington Nationals,
JSES-MT,Mike Trout,Angels,
JSES-NA,Nolan Arenado,Colorado Rockies,
JSES-NS,Nick Senzel,Cincinnati Reds,
JSES-RD,Rafael Devers,Boston Red Sox,
JSES-RZ,Ryan Zimmerman,Washington Nationals,
JSES-SG,Sonny Gray,Cincinnati Reds,
JSES-SS,Stephen Strasburg,Washington Nationals,
JSES-TM,Trey Mancini,Baltimore Orioles,
JSES-TS,Trevor Story,Colorado Rockies,
JSES-TT,Trea Turner,Washington Nationals,
JSES-WB,Walker Buehler,Los Angeles Dodgers,
JSES-WC,Willson Contreras,Chicago Cubs,
JSES-WM,Whit Merrifield,Kansas City Royals,
JSES-XB,Xander Bogaerts,Boston Red Sox,
