card_number,name,team,designations
MLM-AA,Aristides Aquino,Cincinnati Reds,RC
MLM-AB,Alex Bregman,Houston Astros,
MLM-BH,Bryce Harper,Philadelphia Phillies,
MLM-CK,Clayton Kershaw,Los Angeles Dodgers,
MLM-CP,Chris Paddack,San Diego Padres,
MLM-CS,CC Sabathia,New York Yankees,
MLM-CY,Christian Yelich,Milwaukee Brewers,
MLM-DO,David Ortiz,Boston Red Sox,
MLM-EA,Elvis Andrus,Texas Rangers,
MLM-EJ,Eloy Jimenez,Chicago White Sox,
MLM-ES,Eugenio Suarez,Cincinnati Reds,
MLM-FT,Fernando Tatis Jr.,San Diego Padres,
MLM-GT,Gleyber Torres,New York Yankees,
MLM-JB,Javier Baez,Chicago Cubs,
MLM-JF,Jack Flaherty,St. Louis Cardinals,
MLM-JS,Jorge Soler,Kansas City Royals,
MLM-JSO,Juan Soto,Washington Nationals,
MLM-JV,Justin Verlander,Houston Astros,
MLM-JVO,Joey Votto,Cincinnati Reds,
MLM-KB,Kris Bryant,Chicago Cubs,
MLM-KH,Keston Hiura,Milwaukee Brewers,
MLM-KW,Kolten Wong,St. Louis Cardinals,
MLM-LG,Lucas Giolito,Chicago White Sox,
MLM-MC,Miguel Cabrera,Detroit Tigers,
MLM-MK,Max Kepler,Minnesota Twins,
MLM-MM,Manny Machado,San Diego Padres,
MLM-MO,Matt Olson,Oakland Athletics,
MLM-MS,Max Scherzer,Washington Nationals,
MLM-MSE,Marcus Semien,Oakland Athletics,
MLM-MTA,Masahiro Tanaka,New York Yankees,
MLM-MTR,Mike Trout,Angels,
MLM-NA,Nolan Arenado,Colorado Rockies,
MLM-NC,Nick Castellanos,Cincinnati Reds,
MLM-PG,Paul Goldschmidt,St. Louis Cardinals,
MLM-RC,Robinson Cano,New York Mets,
MLM-RH,Rhys Hoskins,Philadelphia Phillies,
MLM-SB,Shane Bieber,Cleveland Indians,
MLM-SO,Shohei Ohtani,Angels,
MLM-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
MLM-YM,Yadier Molina,St. Louis Cardinals,
