card_number,name,team,designations
RCR-AJ,Aaron Judge,New York Yankees,
RCR-AK,Al Kaline,Detroit Tigers,
RCR-AP,Albert Pujols,St. Louis Cardinals,
RCR-BG,Bob Gibson,St. Louis Cardinals,
RCR-BH,Bryce Harper,Washington Nationals,
RCR-BJ,Bo Jackson,Kansas City Royals,
RCR-BP,Buster Posey,San Francisco Giants,
RCR-BR,Brooks Robinson,Baltimore Orioles,
RCR-CA,Jose Canseco,Oakland Athletics,
RCR-CB,Cody Bellinger,Los Angeles Dodgers,
RCR-CC,Carlos Correa,Houston Astros,
RCR-CJ,Chipper Jones,Atlanta Braves,
RCR-CK,Clayton Kershaw,Los Angeles Dodgers,
RCR-CR,Cal Ripken Jr.,Baltimore Orioles,
RCR-CY,Christian Yelich,Miami Marlins,
RCR-DG,Dwight Gooden,New York Mets,
RCR-DM,Don Mattingly,New York Yankees,
RCR-DS,Darryl Strawberry,New York Mets,
RCR-DY,Dennis Eckersley,Cleveland Indians,
RCR-EB,Ernie Banks,Chicago Cubs,
RCR-EM,Eddie Murray,Baltimore Orioles,
RCR-FA,Frank Thomas,Chicago White Sox,
RCR-FR,Frank Robinson,Cincinnati Reds,
RCR-FT,Fernando Tatis Jr.,San Diego Padres,
RCR-HA,Hank Aaron,Milwaukee Braves,
RCR-IS,Ichiro,Seattle Mariners,
RCR-JA,Jose Altuve,Houston Astros,
RCR-JB,Jeff Bagwell,Houston Astros,
RCR-JS,John Smoltz,Atlanta Braves,
RCR-KB,Kris Bryant,Chicago Cubs,
RCR-KG,Ken Griffey Jr.,Seattle Mariners,
RCR-MC,Miguel Cabrera,Florida Marlins,
RCR-MS,Giancarlo Stanton,Florida Marlins,
RCR-MT,Mike Trout,Angels,
RCR-OS,Ozzie Smith,San Diego Padres,
RCR-PA,Pete Alonso,New York Mets,
RCR-RC,Roger Clemens,Boston Red Sox,
RCR-RH,Rickey Henderson,Oakland Athletics,
RCR-RJ,Reggie Jackson,Oakland Athletics,
RCR-RO,Roberto Clemente,Pittsburgh Pirates,
RCR-RS,Ryne Sandberg,Chicago Cubs,
RCR-RY,Rhys Hoskins,Philadelphia Phillies,
RCR-SA,Sandy Alomar Jr.,San Diego Padres,
RCR-SK,Sandy Koufax,Brooklyn Dodgers,
RCR-SO,Shohei Ohtani,Angels,
RCR-SS,Sammy Sosa,Chicago White Sox,
RCR-ST,Stephen Strasburg,Washington Nationals,
RCR-TG,Tony Gwynn,San Diego Padres,
RCR-TR,Tim Raines,Montréal Expos,
RCR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
