card_number,name,team,designations
TPM-AA,Aristides Aquino,Cincinnati Reds,RC
TPM-AB,Alex Bregman,Houston Astros,
TPM-AJ,Aaron Judge,New York Yankees,
TPM-AR,Anthony Rendon,Angels,
TPM-ARZ,Anthony Rizzo,Chicago Cubs,
TPM-BB,Bo Bichette,Toronto Blue Jays,RC
TPM-BH,Bryce Harper,Philadelphia Phillies,
TPM-BM,Brendan McKay,Tampa Bay Rays,RC
TPM-BP,Buster Posey,San Francisco Giants,
TPM-CB,Cody Bellinger,Los Angeles Dodgers,
TPM-CK,Clayton Kershaw,Los Angeles Dodgers,
TPM-CY,Christian Yelich,Milwaukee Brewers,
TPM-EJ,Eloy Jimenez,Chicago White Sox,
TPM-FF,Freddie Freeman,Atlanta Braves,
TPM-FL,Francisco Lindor,Cleveland Indians,
TPM-FT,Fernando Tatis Jr.,San Diego Padres,
TPM-GC,Gerrit Cole,New York Yankees,
TPM-GL,Gavin Lux,Los Angeles Dodgers,RC
TPM-GT,Gleyber Torres,New York Yankees,
TPM-JA,Jose Altuve,Houston Astros,
TPM-JB,Josh Bell,Pittsburgh Pirates,
TPM-JBA,Javier Baez,Chicago Cubs,
TPM-JG,Joey Gallo,Texas Rangers,
TPM-JL,Jesus Luzardo,Oakland Athletics,RC
TPM-JS,Juan Soto,Washington Nationals,
TPM-JV,Justin Verlander,Houston Astros,
TPM-Jd,Jacob deGrom,New York Mets,
TPM-KB,Kris Bryant,Chicago Cubs,
TPM-KH,Keston Hiura,Milwaukee Brewers,
TPM-KL,Kyle Lewis,Seattle Mariners,RC
TPM-KM,Ketel Marte,Arizona Diamondbacks,
TPM-LR,Luis Robert,Chicago White Sox,RC
TPM-MB,Mookie Betts,Los Angeles Dodgers,
TPM-MC,Matt Chapman,Oakland Athletics,
TPM-MCA,Miguel Cabrera,Detroit Tigers,
TPM-MK,Max Kepler,Minnesota Twins,
TPM-MS,Max Scherzer,Washington Nationals,
TPM-MT,Mike Trout,Angels,
TPM-NA,Nolan Arenado,Colorado Rockies,
TPM-PA,Pete Alonso,New York Mets,
TPM-PG,Paul Goldschmidt,St. Louis Cardinals,
TPM-RA,Ronald Acuña Jr.,Atlanta Braves,
TPM-RD,Rafael Devers,Boston Red Sox,
TPM-RH,Rhys Hoskins,Philadelphia Phillies,
TPM-SO,Shohei Ohtani,Angels,
TPM-TM,Trey Mancini,Baltimore Orioles,
TPM-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
TPM-WM,Whit Merrifield,Kansas City Royals,
TPM-YA,Yordan Alvarez,Houston Astros,RC
TPM-YM,Yadier Molina,St. Louis Cardinals,
