card_number,name,team,designations
RAP-AA,Aristides Aquino,Cincinnati Reds,RC
RAP-BB,Bo Bichette,Toronto Blue Jays,RC
RAP-FTJ,Fernando Tatis Jr.,San Diego Padres,
RAP-GT,Gleyber Torres,New York Yankees,
RAP-JTR,J.T. Realmuto,Philadelphia Phillies,
RAP-MT,Mike Trout,Angels,
RAP-NH,Nico Hoerner,Chicago Cubs,RC
RAP-YA,Yordan Alvarez,Houston Astros,RC
TRAP-TB,Trevor Bauer,Cleveland Indians,
TRAP-KB,Kris Bryant,Chicago Cubs,
TRAP-PC,Patrick Corbin,Washington Nationals,
TRAP-JF,Jack Flaherty,St. Louis Cardinals,
TRAP-RHO,Rhys Hoskins,Philadelphia Phillies,
TRAP-JMA,J.D. Martinez,Boston Red Sox,
TRAP-CP,Chris Paddack,San Diego Padres,
TRAP-AR,Alex Rodriguez,New York Yankees,
TRAP-YM,Yadier Molina,St. Louis Cardinals,
TRAP-BP,Buster Posey,San Francisco Giants,
TRAP-BS,Blake Snell,Tampa Bay Rays,
TRAP-FL,Francisco Lindor,Cleveland Indians,
TRAP-JL,Jesus Luzardo,Oakland Athletics,
TRAP-ARZ,Anthony Rizzo,Chicago Cubs,
TRAP-CY,Christian Yelich,Milwaukee Brewers,
TRAP-ABE,Alex Bregman,Houston Astros,
TRAP-RAC,Ronald Acuña Jr.,Atlanta Braves,
TRAP-I,Ichiro,Seattle Mariners,
TRAP-WB,Walker Buehler,Los Angeles Dodgers,
TRAP-LR,Luis Robert,Chicago White Sox,RC
TRAP-MM,Mark McGwire,St. Louis Cardinals,
TRAP-KG,Ken Griffey Jr.,Seattle Mariners,
TRAP-MCA,Miguel Cabrera,Detroit Tigers,
TRAP-Jd,Jacob deGrom,New York Mets,
