card_number,name,team,designations
1,Mike Trout,Angels,
7,Aaron Judge,New York Yankees,
9,Trent Grisham,Milwaukee Brewers,RC
14,Anthony Rendon,Washington Nationals,
20,Aristides Aquino,Cincinnati Reds,RC
35,Adalberto Mondesi,Kansas City Royals,
40,Bobby Bradley,Cleveland Indians,RC
46,Gary Sanchez,New York Yankees,
49,Eloy Jimenez,Chicago White Sox,
50,Cody Bellinger,Los Angeles Dodgers,
51,Anthony Rizzo,Chicago Cubs,
52,Yasmani Grandal,Milwaukee Brewers,
56,Andres Muñoz,San Diego Padres,RC
64,Kyle Lewis,Seattle Mariners,RC
69,Brendan McKay,Tampa Bay Rays,RC
70,Nico Hoerner,Chicago Cubs,RC
74,Bubba Starling,Kansas City Royals,RC
75,Michael Conforto,New York Mets,
78,Bo Bichette,Toronto Blue Jays,RC
99,Dan Vogelbach,Seattle Mariners,
100,Alex Bregman,Houston Astros,
107,Luis Castillo,Cincinnati Reds,
110,Jesus Luzardo,Oakland Athletics,RC
111,Buster Posey,San Francisco Giants,
115,Matt Thaiss,Angels,RC
117,Max Kepler,Minnesota Twins,
118,Clayton Kershaw,Los Angeles Dodgers,
119,Kyle Schwarber,CHicago Cubs,
123,Seth Brown,Oakland Athletics,RC
124,Jose Berrios,Minnesota Twins,
125,Shohei Ohtani,Angels,
127,Matt Chapman,Oakland Athletics,
129,Yoan Moncada,Chicago White Sox,
131,Ketel Marte,Arizona Diamondbacks,
140,Trevor Bauer,Cincinnati Reds,
145,Paul Goldschmidt,St. Louis Cardinals,
147,Jake Rogers,Detroit Tigers,RC
150,Ronald Acuña Jr.,Atlanta Braves,
155,Jack Flaherty,St. Louis Cardinals,
162,Michel Baez,San Diego Padres,RC
166,Nick Solak,Texas Rangers,RC
167,Anthony Kay,Toronto Blue Jays,RC
168,Fernando Tatis Jr.,San Diego Padres,
172,Sonny Gray,Cincinnati Reds,
173,Yadier Molina,St. Louis Cardinals,
175,Lucas Giolito,Chicago White Sox,
178,Mauricio Dubon,San Francisco Giants,RC
180,Max Scherzer,Washington Nationals,
182,Vladimir Guerrero Jr.,Toronto Blue Jays,
188,Manny Machado,San Diego Padres,
190,Aaron Nola,Philadelphia Phillies,
196,Andrew Benintendi,Boston Red Sox,
200,Christian Yelich,Milwaukee Brewers,
201,Francisco Lindor,Cleveland Indians,
203,Joc Pederson,Los Angeles Dodgers,
207,Zac Gallen,Arizona Diamondbacks,RC
208,Zack Collins,Chicago White Sox,RC
214,Trea Turner,Washington Nationals,
223,Aaron Civale,Cleveland Indians,RC
224,Juan Soto,Washington Nationals,
228,Logan Allen,Cleveland Indians,RC
229,Randy Arozarena,St. Louis Cardinals,RC
230,Nolan Arenado,Colorado Rockies,
235,Dustin May,Los Angeles Dodgers,RC
241,Mike Clevinger,Cleveland Indians,
242,Alex Young,Arizona Diamondbacks,RC
249,Jordan Yamamoto,Miami Marlins,RC
250,Bryce Harper,Philadelphia Phillies,
251,A.J. Puk,Oakland Athletics,RC
255,Max Muncy,Los Angeles Dodgers,
259,Jaylin Davis,San Francisco Giants,RC
264,Abraham Toro,Houston Astros,RC
265,Patrick Corbin,Washington Nationals,
267,Joey Votto,Cincinnati Reds,
269,J.D. Martinez,Boston Red Sox,
271,Josh Bell,Pittsburgh Pirates,
272,Carlos Santana,Cleveland Indians,
273,Bryan Abreu,Houston Astros,RC
276,Yordan Alvarez,Houston Astros,RC
278,Isan Diaz,Miami Marlins,RC
279,Masahiro Tanaka,New York Yankees,
281,Nelson Cruz,Minnesota Twins,
283,Robel Garcia,Chicago Cubs,RC
292,Gavin Lux,Los Angeles Dodgers,RC
296,Whit Merrifield,Kansas City Royals,
300,Javier Baez,Chicago Cubs,
304,Shane Bieber,Cleveland Indians,
314,Rafael Devers,Boston Red Sox,
317,Sean Murphy,Oakland Athletics,RC
324,Mike Soroka,Atlanta Braves,
326,Dylan Cease,Chicago White Sox,RC
330,George Springer,Houston Astros,
332,Jacob deGrom,New York Mets,
336,Miguel Cabrera,Detroit Tigers,
340,Adbert Alzolay,Chicago Cubs,RC
345,Justin Verlander,Houston Astros,
346,Lourdes Gurriel Jr.,Toronto Blue Jays,
348,Adrian Morejon,San Diego Padres,RC
349,Carlos Correa,Houston Astros,
350,Pete Alonso,New York Mets,
