card_number,name,team,designations
86ASR-AB,Alex Bregman,Houston Astros,
86ASR-AJ,Aaron Judge,New York Yankees,
86ASR-AP,Albert Pujols,St. Louis Cardinals,
86ASR-AR,Alex Rodriguez,New York Yankees,
86ASR-ARI,Anthony Rizzo,Chicago Cubs,
86ASR-BH,Bryce Harper,Philadelphia Phillies,
86ASR-BL,Barry Larkin,Cincinnati Reds,
86ASR-CB,Cody Bellinger,Los Angeles Dodgers,
86ASR-CC,Carlos Correa,Houston Astros,
86ASR-CF,Carlton Fisk,Chicago White Sox,
86ASR-CS,Corey Seager,Los Angeles Dodgers,
86ASR-CY,Christian Yelich,Milwaukee Brewers,
86ASR-DJ,Derek Jeter,New York Yankees,
86ASR-DO,David Ortiz,Boston Red Sox,
86ASR-FT,Frank Thomas,Chicago White Sox,
86ASR-FTJ,Fernando Tatis Jr.,San Diego Padres,
86ASR-JA,Jose Altuve,Houston Astros,
86ASR-JB,Johnny Bench,Cincinnati Reds,
86ASR-JBA,Javier Baez,Chicago Cubs,
86ASR-JS,Juan Soto,Washington Nationals,
86ASR-JSM,John Smoltz,Atlanta Braves,
86ASR-KB,Kris Bryant,Chicago Cubs,
86ASR-KG,Ken Griffey Jr.,Seattle Mariners,
86ASR-MB,Mookie Betts,Los Angeles Dodgers,
86ASR-MC,Miguel Cabrera,Detroit Tigers,
86ASR-MM,Mark McGwire,St. Louis Cardinals,
86ASR-MMAManny,Machado,San Diego Padres,
86ASR-MP,Mike Piazza,New York Mets,
86ASR-MR,Mariano Rivera,New York Yankees,
86ASR-MT,Mike Trout,Angels,
86ASR-NA,Nolan Arenado,Colorado Rockies,
86ASR-PA,Pete Alonso,New York Mets,
86ASR-RA,Ronald Acuña Jr.,Atlanta Braves,
86ASR-RAL,Roberto Alomar,Toronto Blue Jays,
86ASR-RD,Rafael Devers,Boston Red Sox,
86ASR-RJ,Reggie Jackson,California Angels,
86ASR-RY,Robin Yount,Milwaukee Brewers,
86ASR-TG,Tony Gwynn,San Diego Padres,
86ASR-TGL,Tom Glavine,Atlanta Braves,
86ASR-VG,Vladimir Guerrero,Montréal Expos,
86ASR-WB,Wade Boggs,Boston Red Sox,
86ASR-WBUWalker,Buehler,Los Angeles Dodgers,
86ASR-WM,Willie Mays,San Francisco Giants,
86ASR-WMCWillie,McCovey,San Francisco Giants,
86ASR-XB,Xander Bogaerts,Boston Red Sox,
