card_number,name,team,designations
86TCA-1,Eloy Jimenez,Chicago White Sox,
86TCA-2,Ken Griffey Jr.,Cincinnati Reds,
86TCA-3,Nate Pearson,Toronto Blue Jays,RC
86TCA-5,Barry Larkin,Cincinnati Reds,
86TCA-6,Tanner Houck,Boston Red Sox,RC
86TCA-8,Shane McClanahan,Tampa Bay Rays,RC
86TCA-10,Estevan Florial,New York Yankees,RC
86TCA-12,Cavan Biggio,Toronto Blue Jays,
86TCA-14,Trevor Rogers,Miami Marlins,RC
86TCA-15,Jose Abreu,Chicago White Sox,
86TCA-16,Anthony Rendon,Angels,
86TCA-17,Jose Berrios,Minnesota Twins,
86TCA-18,Ketel Marte,Arizona Diamondbacks,
86TCA-19,J.T. Realmuto,Philadelphia Phillies,
86TCA-20,George Springer,Toronto Blue Jays,
86TCA-21,Joey Bart,San Francisco Giants,RC
86TCA-22,Clarke Schmidt,New York Yankees,RC
86TCA-23,Rickey Henderson,Oakland Athletics,
86TCA-24,Ke'Bryan Hayes,Pittsburgh Pirates,RC
86TCA-25,Bryce Harper,Philadelphia Phillies,
86TCA-26,Luke Voit,New York Yankees,
86TCA-27,Sam Huff,Texas Rangers,RC
86TCA-28,Trevor Bauer,Los Angeles Dodgers,
86TCA-30,Alex Verdugo,Boston Red Sox,
86TCA-31,Alex Kirillof,Minnesota Twins,RC
86TCA-32,Ryan Weathers,San Diego Padres,RC
86TCA-33,Cristian Pache,Atlanta Braves,RC
86TCA-34,Derek Jeter,New York Yankees,
86TCA-35,Ozzie Albies,Atlanta Braves,
86TCA-36,Mickey Moniak,Philadelphia Phillies,RC
86TCA-37,Larry Walker,Colorado Rockies,
86TCA-39,Jack Flaherty,St. Louis Cardinals,
86TCA-41,Mitch White,Los Angeles Dodgers,RC
86TCA-42,Sherten Apostel,Texas Rangers,RC
86TCA-44,Kyle Lewis,Seattle Mariners,
86TCA-45,Matt Olson,Oakland Athletics,
86TCA-47,Jose Garcia,Cincinnati Reds,RC
86TCA-48,Devin Williams,Milwaukee Brewers,
86TCA-49,Eddie Murray,Baltimore Orioles,
86TCA-50,Tarik Skubal,Detroit Tigers,RC
86TCA-51,Alec Bohm,Philadelphia Phillies,RC
86TCA-54,Dean Kremer,Baltimore Orioles,RC
86TCA-55,Randy Johnson,Seattle Mariners,
86TCA-56,Craig Biggio,Houston Astros,
86TCA-57,Josh Bell,Washington Nationals,
86TCA-58,Jesus Sanchez,Miami Marlins,RC
86TCA-59,Christian Yelich,Milwaukee Brewers,
86TCA-60,Jake Cronenworth,San Diego Padres,RC
86TCA-63,Noah Syndergaard,New York Mets,
86TCA-64,Tyler Glasnow,Tampa Bay Rays,
86TCA-65,Ronald Acuña Jr.,Atlanta Braves,
86TCA-66,Willson Contreras,Chicago Cubs,
86TCA-67,Darryl Strawberry,New York Mets,
86TCA-68,Aaron Nola,Philadelphia Phillies,
86TCA-69,Jose Ramirez,Cleveland Indians,
86TCA-71,Luis Garcia,Washington Nationals,RC
86TCA-72,Lewin Diaz,Miami Marlins,RC
86TCA-73,Juan Soto,Washington Nationals,
86TCA-75,Mike Schmidt,Philadelphia Phillies,
86TCA-76,Walker Buehler,Los Angeles Dodgers,
86TCA-77,Ryne Sandberg,Chicago Cubs,RC
86TCA-78,Ryan Jeffers,Minnesota Twins,RC
86TCA-79,Jose Altuve,Houston Astros,
86TCA-80,Anthony Rizzo,Chicago Cubs,
86TCA-81,Fernando Tatis Jr.,San Diego Padres,
86TCA-83,Alejandro Kirk,Toronto Blue Jays,RC
86TCA-84,Dylan Carlson,St. Louis Cardinals,RC
86TCA-85,Randy Arozarena,Tampa Bay Rays,
86TCA-86,Andrew McCutchen,Philadelphia Phillies,
86TCA-87,Corey Seager,Los Angeles Dodgers,
86TCA-88,Nick Castellanos,Cincinnati Reds,
86TCA-89,Jazz Chisholm,Miami Marlins,RC
86TCA-91,Brailyn Marquez,Chicago Cubs,RC
86TCA-92,Mike Trout,Angels,
86TCA-93,Dane Dunning,Texas Rangers,RC
86TCA-94,Blake Snell,Tampa Bay Rays,
86TCA-95,Carlos Correa,Houston Astros,
86TCA-96,Jo Adell,Angels,RC
86TCA-97,Michael Conforto,New York Mets,
86TCA-99,Tucker Davidson,Atlanta Braves,RC
