card_number,name,team,designations
70YA-AB,Adrian Beltre,Texas Rangers,
70YA-AK,Alejandro Kirk,Toronto Blue Jays,RC
70YA-AM,Adonis Medina,Philadelphia Phillies,RC
70YA-BB,Brandon Bielak,Houston Astros,RC
70YA-BBR,Ben Braymer,Washington Nationals,RC
70YA-BBU,Beau Burrows,Detroit Tigers,RC
70YA-BG,Bob Gibson,St. Louis Cardinals,
70YA-BOR,Ryan Borucki,Toronto Blue Jays,
70YA-BZ,Barry Zito,Oakland Athletics,
70YA-CPA,Cristian Pache,Atlanta Braves,RC
70YA-DFL,David Fletcher,Angels,
70YA-DJ,Daulton Jefferies,Oakland Athletics,RC
70YA-DL,Derrek Lee,Chicago Cubs,
70YA-DM,Dale Murphy,Atlanta Braves,
70YA-DS,Darryl Strawberry,New York Mets,
70YA-DV,Daulton Varsho,Arizona Diamondbacks,RC
70YA-EH,Eric Hosmer,San Diego Padres,
70YA-EW,Evan White,Seattle Mariners,RC
70YA-FR,Franmil Reyes,Cleveland Indians,
70YA-FT,Frank Thomas,Chicago White Sox,
70YA-HR,Hyun-Jin Ryu,Toronto Blue Jays,
70YA-IA,Ian Anderson,Atlanta Braves,RC
70YA-JB,Josh Bell,Washington Nationals,
70YA-JBJ,Jackie Bradley Jr.,Boston Red Sox,
70YA-JD,J.D. Davis,New York Mets,
70YA-JG,Joey Gallo,Texas Rangers,
70YA-JH,Jonah Heim,Texas Rangers,RC
70YA-JJ,Jahmai Jones,Baltimore Orioles,RC
70YA-JO,Jared Oliva,Pittsburgh Pirates,RC
70YA-JR,J.T. Realmuto,Philadelphia Phillies,
70YA-JS,Juan Soto,Washington Nationals,
70YA-JST,Jonathan Stiever,Chicago White Sox,RC
70YA-JV,Jason Varitek,Boston Red Sox,
70YA-JW,Jake Woodford,St. Louis Cardinals,RC
70YA-KB,Kris Bubic,Kansas City Royals,RC
70YA-KL,Kenny Lofton,Cleveland Indians,
70YA-KR,Keibert Ruiz,Los Angeles Dodgers,RC
70YA-LA,Luis Arraez,Minnesota Twins,
70YA-LD,Lewin Diaz,Miami Marlins,RC
70YA-LG,Luis Garcia,Houston Astros,RC
70YA-LP,Luis Patiño,Tampa Bay Rays,RC
70YA-LW,Larry Walker,Colorado Rockies,
70YA-MH,Monte Harrison,Miami Marlins,RC
70YA-MM,Manny Machado,San Diego Padres,
70YA-MS,Marcus Semien,Toronto Blue Jays,
70YA-MST,Marcus Stroman,New York Mets,
70YA-MT,Mike Trout,Angels,
70YA-MW,Mitch White,Los Angeles Dodgers,RC
70YA-MY,Mike Yastrzemski,San Francisco Giants,
70YA-MYA,Miguel Yajure,Pittsburgh Pirates,RC
70YA-NH,Nick Heath,Kansas City Royals,RC
70YA-NM,Nick Madrigal,Chicago White Sox,RC
70YA-OA,Ozzie Albies,Atlanta Braves,
70YA-OC,Orlando Cepeda,San Francisco Giants,
70YA-PS,Pavin Smith,Arizona Diamondbacks,RC
70YA-RA,Ronald Acuña Jr.,Atlanta Braves,
70YA-RM,Rafael Marchan,Philadelphia Phillies,RC
70YA-SE,Santiago Espinal,Toronto Blue Jays,RC
70YA-SH,Spencer Howard,Philadelphia Phillies,RC
70YA-SS,Stephen Strasburg,Washington Nationals,
70YA-SSO,Sammy Sosa,Chicago Cubs,
70YA-TB,Trevor Bauer,Los Angeles Dodgers,
70YA-TM,Triston McKenzie,Cleveland Indians,RC
70YA-TR,Trevor Rogers,Miami Marlins,RC
70YA-TS,Tyler Stephenson,Cincinnati Reds,RC
70YA-WB,Wade Boggs,Boston Red Sox,
70YA-WCA,Willi Castro,Detroit Tigers,
70YA-YM,Yoan Moncada,Chicago White Sox,
70YA-YMO,Yadier Molina,St. Louis Cardinals,
70YA-ZB,Zack Burdi,Chicago White Sox,RC
