card_number,name,team,designations
70YA-AB,Alec Bohm,Philadelphia Phillies,RC
70YA-AM,Austin Meadows,Tampa Bay Rays,
70YA-BDA,Bobby Dalbec,Boston Red Sox,RC
70YA-BG,Bob Gibson,St. Louis Cardinals,
70YA-BK,Brad Keller,Kansas City Royals,
70YA-CB,Corbin Burnes,Milwaukee Brewers,
70YA-CMI,Casey Mize,Detroit Tigers,RC
70YA-CS,Clarke Schmidt,New York Yankees,RC
70YA-CY,Christian Yelich,Milwaukee Brewers,
70YA-DC,Dylan Carlson,St. Louis Cardinals,RC
70YA-DD,Dane Dunning,Chicago White Sox,RC
70YA-DGA,Deivi Garcia,New York Yankees,RC
70YA-DJ,Danny Jansen,Toronto Blue Jays,
70YA-DJO,Daniel Johnson,Cleveland Indians,RC
70YA-DKR,Dean Kremer,Baltimore Orioles,RC
70YA-ED,Eric Davis,Cincinnati Reds,
70YA-EO,Edward Olivares,Kansas City Royals,RC
70YA-FJ,Fergie Jenkins,Chicago Cubs,
70YA-FK,Franklyn Kilome,New York Mets,RC
70YA-IP,Isaac Paredes,Detroit Tigers,RC
70YA-JA,Jo Adell,Angels,RC
70YA-JAR,Jonathan Arauz,Boston Red Sox,RC
70YA-JAZ,Jazz Chisholm,Miami Marlins,RC
70YA-JB,Joey Bart,San Francisco Giants,RC
70YA-JGA,Jose Garcia,Cincinnati Reds,RC
70YA-JJ,Josh James,Houston Astros,
70YA-JK,John Kruk,Philadelphia Phillies,
70YA-JM,Jordan Montgomery,New York Yankees,
70YA-JO,Johan Oviedo,St. Louis Cardinals,RC
70YA-JR,Jim Rice,Boston Red Sox,
70YA-JS,Juan Soto,Washington Nationals,
70YA-JSO,Jorge Soler,Kansas City Royals,
70YA-KA,Keegan Akin,Baltimore Orioles,RC
70YA-KBH,Ke'Bryan Hayes,Pittsburgh Pirates,RC
70YA-KW,Kerry Wood,Chicago Cubs,
70YA-LG,Luis Gonzalez,Arizona Diamondbacks,
70YA-LM,Lance McCullers Jr.,Houston Astros,
70YA-MG,Mitch Garver,Minnesota Twins,
70YA-MK,Mitch Keller,Pittsburgh Pirates,
70YA-MM,Mike Mussina,Baltimore Orioles,
70YA-MMA,Mark Mathias,Milwaukee Brewers,RC
70YA-MMO,Mickey Moniak,Philadelphia Phillies,RC
70YA-MT,Mike Trout,Angels,
70YA-NG,Nomar Garciaparra,Boston Red Sox,
70YA-NP,Nate Pearson,Toronto Blue Jays,RC
70YA-OV,Omar Vizquel,Cleveland Indians,
70YA-RA,Ronald Acuña Jr.,Atlanta Braves,
70YA-RH,Ryan Howard,Philadelphia Phillies,
70YA-RM,Ryan Mountcastle,Baltimore Orioles,RC
70YA-SG,Steve Garvey,Los Angeles Dodgers,
70YA-SH,Sam Hilliard,Colorado Rockies,
70YA-SHU,Sam Huff,Texas Rangers,RC
70YA-SM,Sean Murphy,Oakland Athletics,
70YA-SR,Seth Romero,Washington Nationals,RC
70YA-SS,Sterling Sharp,Miami Marlins,RC
70YA-TA,Tim Anderson,Chicago White Sox,
70YA-TAN,Tejay Antone,Cincinnati Reds,RC
70YA-TE,Tommy Edman,St. Louis Cardinals,
70YA-TG,Tony Gonsolin,Los Angeles Dodgers,
70YA-TH,Trevor Hoffman,San Diego Padres,
70YA-THA,Tom Hatch,Toronto Blue Jays,RC
70YA-TM,Tino Martinez,New York Yankees,
70YA-TR,Tim Raines,Chicago White Sox,
70YA-TT,Touki Toussaint,Atlanta Braves,
70YA-TW,Taylor Widener,Arizona Diamondbacks,RC
70YA-YK,Yusei Kikuchi,Seattle Mariners,
70YA-YM,Yermin Mercedes,Chicago White Sox,RC
70YA-YR,Yohan Ramirez,Seattle Mariners,RC
70YA-ZP,Zach Plesac,Cleveland Indians,
