card_number,name,team,designations
70DA-AG,Roberto Alomar / Vladimir Guerrero Jr.,Toronto Blue Jays / Toronto Blue Jays,
70DA-AT,Fernando Tatis Jr. / Ronald Acuña Jr.,San Diego Padres / Atlanta Braves,
70DA-BB,Jeff Bagwell / Alex Bregman,Houston Astros / Houston Astros,
70DA-GM,Bob Gibson / Yadier Molina,St. Louis Cardinals / St. Louis Cardinals,
70DA-GR,Tim Raines / Vladimir Guerrero,Montréal Expos / Montréal Expos,
70DA-GT,Mike Trout / Ken Griffey Jr.,Angels / Seattle Mariners,
70DA-JA,Chipper Jones / Ronald Acuña Jr.,Atlanta Braves / Atlanta Braves,
70DA-KB,Clayton Kershaw / Cody Bellinger,Los Angeles Dodgers / Los Angeles Dodgers,
70DA-MC,Mark McGwire / Matt Chapman,Oakland Athletics / Oakland Athletics,
70DA-MO,Pedro Martinez / David Ortiz,Boston Red Sox / Boston Red Sox,
70DA-OD,Rafael Devers / David Ortiz,Boston Red Sox / Boston Red Sox,
70DA-RJ,Cal Ripken Jr. / Derek Jeter,Baltimore Orioles / New York Yankees,
70DA-SM,Greg Maddux / Ryne Sandberg,Chicago Cubs / Chicago Cubs,
70DA-TO,Shohei Ohtani / Mike Trout,Angels / Angels,
70DA-WA,Larry Walker / Nolan Arenado,Colorado Rockies / Colorado Rockies,
