card_number,name,team,designations
70YT-2,Aaron Judge,New York Yankees,
70YT-3,Clayton Kershaw,Los Angeles Dodgers,
70YT-4,Derek Jeter,New York Yankees,
70YT-5,Andrew McCutchen,Philadelphia Phillies,
70YT-6,Mike Trout,Angels,
70YT-7,Cal Ripken Jr.,Baltimore Orioles,
70YT-8,Paul Goldschmidt,St. Louis Cardinals,
70YT-9,Yadier Molina,St. Louis Cardinals,
70YT-10,Buster Posey,San Francisco Giants,
70YT-11,Anthony Rizzo,Chicago Cubs,
70YT-12,Ronald Acuña Jr.,Atlanta Braves,
70YT-14,Will Clark,San Francisco Giants,
70YT-15,Johnny Bench,Cincinnati Reds,
70YT-16,Gerrit Cole,New York Yankees,
70YT-17,Gleyber Torres,New York Yankees,
70YT-18,Pete Alonso,New York Mets,
70YT-19,Mark McGwire,Oakland Athletics,
70YT-20,Rickey Henderson,Oakland Athletics,
70YT-21,Mike Piazza,New York Mets,
70YT-22,Robin Yount,Milwaukee Brewers,
70YT-23,Jacob deGrom,New York Mets,
70YT-25,Christian Yelich,Milwaukee Brewers,
70YT-27,Ken Griffey Jr.,Seattle Mariners,
70YT-28,Shohei Ohtani,Angels,
70YT-29,Fernando Tatis Jr.,San Diego Padres,
70YT-31,Miguel Cabrera,Detroit Tigers,
70YT-35,Chipper Jones,Atlanta Braves,
70YT-36,Vladimir Guerrero,Montreal Expos,
70YT-38,Vladimir Guerrero Jr.,Toronto Blue Jays,
70YT-39,Cody Bellinger,Los Angeles Dodgers,
70YT-40,Kris Bryant,Chicago Cubs,
70YT-42,Alex Bregman,Houston Astros,
70YT-43,Mariano Rivera,New York Yankees,
70YT-45,Ichiro,Seattle Mariners,
70YT-47,Joey Votto,Cincinnati Reds,
70YT-48,Jose Altuve,Houston Astros,
70YT-49,Blake Snell,Tampa Bay Rays,
70YT-50,Ryne Sandberg,Chicago Cubs,
70YT-51,Bob Gibson,St. Louis Cardinals,
70YT-52,Nolan Arenado,Colorado Rockies,
70YT-53,Rafael Devers,Boston Red Sox,
70YT-54,Don Mattingly,New York Yankees,
70YT-55,Stephen Strasburg,Washington Nationals,
70YT-57,Ozzie Smith,St. Louis Cardinals,
70YT-59,Mike Schmidt,Philadelphia Phillies,
70YT-60,Juan Soto,Washington Nationals,
70YT-61,Reggie Jackson,New York Yankees,
70YT-62,Matt Chapman,Oakland Athletics,
70YT-64,Roger Clemens,Boston Red Sox,
70YT-66,Frank Thomas,Chicago White Sox,
70YT-67,Nolan Ryan,Texas Rangers,
70YT-68,Randy Johnson Arizona Diamonbacks,,
