card_number,name,team,designations
70YTA-47,Tyler Stephenson,Cincinnati Reds,RC
70YTA-46,Eloy Jimenez,Chicago White Sox,
70YTA-48,Sixto Sanchez,Miami Marlins,RC
70YTA-49,Tim Lincecum,San Francisco Giants,
70YTA-51,Sam Huff,Texas Rangers,RC
70YTA-50,Jack Flaherty,St. Louis Cardinals,
70YTA-45,Michael Conforto,New York Mets,
70YTA-44,David Ortiz,Boston Red Sox,
70YTA-40,Bryce Harper,Philadelphia Phillies,
70YTA-39,Fernando Tatis Jr.,San Diego Padres,
70YTA-41,Ronald Acuña Jr.,Atlanta Braves,
70YTA-42,Nick Madrigal,Chicago White Sox,RC
70YTA-43,Trevor Story,Colorado Rockies,
70YTA-52,Randy Arozarena,Tampa Bay Rays,
70YTA-53,Bo Bichette,Toronto Blue Jays,
70YTA-63,Jazz Chisholm,Miami Marlins,RC
70YTA-62,Juan Soto,Washington Nationals,
70YTA-65,Greg Maddux,Chicago Cubs,
70YTA-66,Luis Robert,Chicago White Sox,
70YTA-10,Anthony Rizzo,Chicago Cubs,
70YTA-69,Mike Piazza,New York Mets,
70YTA-61,Deivi Garcia,New York Yankees,RC
70YTA-60,Joey Bart,San Francisco Giants,RC
70YTA-55,Mike Trout,Angels,
70YTA-54,Dylan Carlson,St. Louis Cardinals,RC
70YTA-56,Whit Merrifield,Kansas City Royals,
70YTA-57,Tyler Glasnow,Tampa Bay Rays,
70YTA-58,Xander Bogaerts,Boston Red Sox,
70YTA-38,Ian Anderson,Atlanta Braves,RC
70YTA-36,David Wright,New York Mets,
70YTA-13,Christian Yelich,Milwaukee Brewers,
70YTA-12,Walker Buehler,Los Angeles Dodgers,
70YTA-14,Corey Seager,Los Angeles Dodgers,
70YTA-16,Alex Kirilloff,Minnesota Twins,RC
70YTA-18,Jose Garcia,Cincinnati Reds,RC
70YTA-17,Luis Garcia,Washington Nationals,RC
70YTA-11,Ke'Bryan Hayes,Pittsburgh Pirates,RC
70YTA-9,Aaron Judge,New York Yankees,
70YTA-2,Derek Jeter,New York Yankees,
70YTA-23,Alec Bohm,Philadelphia Phillies,RC
70YTA-4,Casey Mize,Detroit Tigers,RC
70YTA-6,Ken Griffey Jr.,Seattle Mariners,
70YTA-7,Barry Larkin,Cincinnati Reds,
70YTA-19,Rickey Henderson,Oakland Athletics,
70YTA-21,Anthony Rendon,Angels,
70YTA-32,Ryan Mountcastle,Baltimore Orioles,RC
70YTA-31,Tarik Skubal,Detroit Tigers,RC
70YTA-33,Bobby Dalbec,Boston Red Sox,RC
70YTA-34,Nate Pearson,Toronto Blue Jays,RC
70YTA-35,Craig Biggio,Houston Astros,
70YTA-30,Cristian Pache,Atlanta Braves,RC
70YTA-29,Mark McGwire,Oakland Athletics,
70YTA-25,Yordan Alvarez,Houston Astros,
70YTA-24,Brady Singer,Kansas City Royals,RC
70YTA-26,Eddie Murray,Baltimore Orioles,
70YTA-27,Shane Bieber,Cleveland Indians,
70YTA-28,Cal Ripken Jr.,Baltimore Orioles,
70YTA-22,Jo Adell,Angels,RC
