card_number,name,team,designations
WSRA-CJ,Chipper Jones,Atlanta Braves,
WSRA-GM,Greg Maddux,Atlanta Braves,
WSRA-JSM,John Smoltz,Atlanta Braves,
WSRA-TG,Tom Glavine,Atlanta Braves,
WSRA-CSA,Chris Sale,Boston Red Sox,
WSRA-JM,J.D. Martinez,Boston Red Sox,
WSRA-RD,Rafael Devers,Boston Red Sox,
WSRA-XB,Xander Bogaerts,Boston Red Sox,
WSRA-ARI,Anthony Rizzo,Chicago Cubs,
WSRA-KB,Kris Bryant,Chicago Cubs,
WSRA-KH,Kyle Hendricks,Chicago Cubs,
WSRA-KS,Kyle Schwarber,Chicago Cubs,
WSRA-WC,Willson Contreras,Chicago Cubs,
WSRA-CB,Cody Bellinger,Los Angeles Dodgers,
WSRA-CSE,Corey Seager,Los Angeles Dodgers,
WSRA-MM,Max Muncy,Los Angeles Dodgers,
WSRA-WB,Walker Buehler,Los Angeles Dodgers,
WSRA-DST,Darryl Strawberry,New York Mets,
WSRA-DG,Dwight Gooden,New York Mets,
WSRA-AR,Alex Rodriguez,New York Yankees,
WSRA-APE,Andy Pettitte,New York Yankees,
WSRA-BW,Bernie Williams,New York Yankees,
WSRA-CS,CC Sabathia,New York Yankees,
WSRA-DJ,Derek Jeter,New York Yankees,
WSRA-DJE,Derek Jeter,New York Yankees,
WSRA-HM,Hideki Matsui,New York Yankees,
WSRA-JP,Jorge Posada,New York Yankees,
WSRA-MR,Mariano Rivera,New York Yankees,
WSRA-MRI,Mariano Rivera,New York Yankees,
WSRA-PO,Paul O'Neill,New York Yankees,
WSRA-RC,Roger Clemens,New York Yankees,
WSRA-TM,Tino Martinez,New York Yankees,
WSRA-DS,Dave Stewart,Oakland Athletics,
WSRA-DE,Dennis Eckersley,Oakland Athletics,
WSRA-JC,Jose Canseco,Oakland Athletics,
WSRA-MMC,Mark McGwire,Oakland Athletics,
WSRA-RH,Rickey Henderson,Oakland Athletics,
WSRA-AP,Albert Pujols,St. Louis Cardinals,
WSRA-YM,Yadier Molina,St. Louis Cardinals,
WSRA-JS,Juan Soto,Washington Nationals,
WSRA-SS,Stephen Strasburg,Washington Nationals,
