card_number,name,team,designations
WSR-AP,Albert Pujols,St. Louis Cardinals,
WSR-APE,Andy Pettitte,New York Yankees,
WSR-AR,Alex Rodriguez,New York Yankees,
WSR-ARI,Anthony Rizzo,Chicago Cubs,
WSR-BW,Bernie Williams,New York Yankees,
WSR-CB,Cody Bellinger,Los Angeles Dodgers,
WSR-CC,Chris Carpenter,St. Louis Cardinals,
WSR-CJ,Chipper Jones,Atlanta Braves,
WSR-CK,Clayton Kershaw,Los Angeles Dodgers,
WSR-CS,CC Sabathia,New York Yankees,
WSR-CSA,Chris Sale,Boston Red Sox,
WSR-CSE,Corey Seager,Los Angeles Dodgers,
WSR-DE,Dennis Eckersley,Oakland Athletics,
WSR-DG,Dwight Gooden,New York Mets,
WSR-DJ,Derek Jeter,New York Yankees,
WSR-DJE,Derek Jeter,New York Yankees,
WSR-DS,Dave Stewart,Oakland Athletics,
WSR-DST,Darryl Strawberry,New York Mets,
WSR-GC,Gary Carter,New York Mets,
WSR-GM,Greg Maddux,Atlanta Braves,
WSR-HM,Hideki Matsui,New York Yankees,
WSR-JB,Javier Baez,Chicago Cubs,
WSR-JC,Jose Canseco,Oakland Athletics,
WSR-JM,J.D. Martinez,Boston Red Sox,
WSR-JP,Jorge Posada,New York Yankees,
WSR-JS,Juan Soto,Washington Nationals,
WSR-JSM,John Smoltz,Atlanta Braves,
WSR-KB,Kris Bryant,Chicago Cubs,
WSR-KH,Kyle Hendricks,Chicago Cubs,
WSR-KS,Kyle Schwarber,Chicago Cubs,
WSR-MB,Mookie Betts,Los Angeles Dodgers,
WSR-MBE,Mookie Betts,Boston Red Sox,
WSR-MM,Max Muncy,Los Angeles Dodgers,
WSR-MMC,Mark McGwire,Oakland Athletics,
WSR-MR,Mariano Rivera,New York Yankees,
WSR-MRI,Mariano Rivera,New York Yankees,
WSR-MS,Max Scherzer,Washington Nationals,
WSR-PO,Paul O'Neill,New York Yankees,
WSR-RC,Roger Clemens,New York Yankees,
WSR-RD,Rafael Devers,Boston Red Sox,
WSR-RH,Rickey Henderson,Oakland Athletics,
WSR-RZ,Ryan Zimmerman,Washington Nationals,
WSR-SS,Stephen Strasburg,Washington Nationals,
WSR-TG,Tom Glavine,Atlanta Braves,
WSR-TM,Tino Martinez,New York Yankees,
WSR-TT,Trea Turner,Washington Nationals,
WSR-WB,Walker Buehler,Los Angeles Dodgers,
WSR-WC,Willson Contreras,Chicago Cubs,
WSR-XB,Xander Bogaerts,Boston Red Sox,
WSR-YM,Yadier Molina,St. Louis Cardinals,
