card_number,name,team,designations
DHDA-1,Marcell Ozuna,Atlanta Braves,
DHDA-3,Bryce Harper,Philadelphia Phillies,
DHDA-4,Corey Seager,Los Angeles Dodgers,
DHDA-5,Pete Alonso,New York Mets,
DHDA-6,Andrew McCutchen,Philadelphia Phillies,
DHDA-7,Howie Kendrick,Washington Nationals,
DHDA-9,J.T. Realmuto,Philadelphia Phillies,
DHDA-10,Ryan Braun,Milwaukee Brewers,
DHDA-11,Christian Yelich,Milwaukee Brewers,
DHDA-12,Juan Soto,Washington Nationals,
DHDA-13,Eric Hosmer,San Diego Padres,
DHDA-14,Paul Goldschmidt,St. Louis Cardinals,
DHDA-15,Christian Walker,Arizona Diamondbacks,
