card_number,name,team,designations
JSHA-1,Juan Soto,Washington Nationals,
JSHA-2,Juan Soto,Washington Nationals,
JSHA-3,Juan Soto,Washington Nationals,
JSHA-4,Juan Soto,Washington Nationals,
JSHA-5,Juan Soto,Washington Nationals,
JSHA-6,Juan Soto,Washington Nationals,
JSHA-7,Juan Soto,Washington Nationals,
JSHA-8,Juan Soto,Washington Nationals,
JSHA-9,Juan Soto,Washington Nationals,
JSHA-10,Juan Soto,Washington Nationals,
JSHA-11,Juan Soto,Washington Nationals,
JSHA-12,Juan Soto,Washington Nationals,
JSHA-13,Juan Soto,Washington Nationals,
JSHA-14,Juan Soto,Washington Nationals,
JSHA-15,Juan Soto,Washington Nationals,
JSHA-16,Juan Soto,Washington Nationals,
JSHA-17,Juan Soto,Washington Nationals,
JSHA-18,Juan Soto,Washington Nationals,
JSHA-19,Juan Soto,Washington Nationals,
JSHA-20,Juan Soto,Washington Nationals,
JSHA-21,Juan Soto,Washington Nationals,
JSHA-22,Juan Soto,Washington Nationals,
JSHA-23,Juan Soto,Washington Nationals,
JSHA-24,Juan Soto,Washington Nationals,
JSHA-25,Juan Soto,Washington Nationals,
JSHA-26,Juan Soto,Washington Nationals,
JSHA-27,Juan Soto,Washington Nationals,
JSHA-28,Juan Soto,Washington Nationals,
JSHA-29,Juan Soto,Washington Nationals,
JSHA-30,Juan Soto,Washington Nationals,
