card_number,name,team,designations
RPA-SH,Spencer Howard,Philadelphia Phillies,RC
RPA-KR,Keibert Ruiz,Los Angeles Dodgers,RC
RPA-BD,Bobby Dalbec,Boston Red Sox,RC
RPA-TM,Triston McKenzie,Cleveland Indians,RC
RPA-TS,Tyler Stephenson,Cincinnati Reds,RC
RPA-BS,Brady Singer,Kansas City Royals,RC
RPA-JCH,Jazz Chisholm,Miami Marlins,RC
RPA-LP,Luis Patiño,Tampa Bay Rays,RC
RPA-JC,Jake Cronenworth,San Diego Padres,RC
RPA-CS,Clarke Schmidt,New York Yankees,RC
RPA-BM,Brailyn Marquez,Chicago Cubs,RC
RPA-TSK,Tarik Skubal,Detroit Tigers,RC
RPA-LC,Luis Campusano,San Diego Padres,RC
RPA-SHU,Sam Huff,Texas Rangers,RC
RPA-DG,Deivi Garcia,New York Yankees,RC
RPA-CP,Cristian Pache,Atlanta Braves,RC
RPA-CM,Casey Mize,Detroit Tigers,RC
RPA-JB,Joey Bart,San Francisco Giants,RC
RPA-AB,Alec Bohm,Philadelphia Phillies,RC
RPA-LG,Luis Garcia,Washington Nationals,RC
RPA-DC,Dylan Carlson,St. Louis Cardinals,RC
RPA-IA,Ian Anderson,Atlanta Braves,RC
RPA-AK,Alex Kirilloff,Minnesota Twins,RC
RPA-NP,Nate Pearson,Toronto Blue Jays,RC
RPA-SS,Sixto Sanchez,Miami Marlins,RC
RPA-RM,Ryan Mountcastle,Baltimore Orioles,RC
RPA-NM,Nick Madrigal,Chicago White Sox,RC
RPA-KH,Ke'Bryan Hayes,Pittsburgh Pirates,RC
RPA-JA,Jo Adell,Angels,RC
