card_number,name,team,designations
RP-AB,Alec Bohm,Philadelphia Phillies,RC
RP-AK,Alex Kirilloff,Minnesota Twins,RC
RP-BD,Bobby Dalbec,Boston Red Sox,RC
RP-BM,Brailyn Marquez,Chicago Cubs,RC
RP-BS,Brady Singer,Kansas City Royals,RC
RP-CM,Casey Mize,Detroit Tigers,RC
RP-CP,Cristian Pache,Atlanta Braves,RC
RP-CS,Clarke Schmidt,New York Yankees,RC
RP-DC,Dylan Carlson,St. Louis Cardinals,RC
RP-DG,Deivi Garcia,New York Yankees,RC
RP-GC,Garrett Crochet,Chicago White Sox,RC
RP-IA,Ian Anderson,Atlanta Braves,RC
RP-JA,Jo Adell,Angels,RC
RP-JB,Joey Bart,San Francisco Giants,RC
RP-JC,Jake Cronenworth,San Diego Padres,RC
RP-JCH,Jazz Chisholm,Miami Marlins,RC
RP-KH,Ke'Bryan Hayes,Pittsburgh Pirates,RC
RP-KR,Keibert Ruiz,Los Angeles Dodgers,RC
RP-LC,Luis Campusano,San Diego Padres,RC
RP-LG,Luis Garcia,Washington Nationals,RC
RP-LP,Luis Patiño,Tampa Bay Rays,RC
RP-NM,Nick Madrigal,Chicago White Sox,RC
RP-NP,Nate Pearson,Toronto Blue Jays,RC
RP-RM,Ryan Mountcastle,Baltimore Orioles,RC
RP-SH,Spencer Howard,Philadelphia Phillies,RC
RP-SHU,Sam Huff,Texas Rangers,RC
RP-SS,Sixto Sanchez,Miami Marlins,RC
RP-TM,Triston McKenzie,Cleveland Indians,RC
RP-TS,Tyler Stephenson,Cincinnati Reds,RC
RP-TSK,Tarik Skubal,Detroit Tigers,RC
