card_number,name,team,designations
SSR-BG,Brusdar Graterol,Los Angeles Dodgers,
SSR-CB,Cody Bellinger,Los Angeles Dodgers,
SSR-DM,Dustin May,Los Angeles Dodgers,
SSR-DWI,Devin Williams,Milwaukee Brewers,
SSR-FET,Fernando Tatis Jr.,San Diego Padres,
SSR-FF,Freddie Freeman,Atlanta Braves,
SSR-FT,Fernando Tatis Jr.,San Diego Padres,
SSR-JR,J.T. Realmuto,Philadelphia Phillies,
SSR-JS,Juan Soto,Washington Nationals,
SSR-JSO,Juan Soto,Washington Nationals,
SSR-JUS,Juan Soto,Washington Nationals,
SSR-Jd,Jacob deGrom,New York Mets,
SSR-KK,Kevin Kiermaier,Tampa Bay Rays,
SSR-LR,Luis Robert,Chicago White Sox,
SSR-MO,Marcell Ozuna,Atlanta Braves,
SSR-MS,Miguel Sano,Minnesota Twins,
SSR-MT,Mike Trout,Angels,
SSR-PA,Pete Alonso,New York Mets,
SSR-RA,Ronald Acuña Jr.,Atlanta Braves,
SSR-TB,Trevor Bauer,Cincinnati Reds,
