card_number,name,team,designations
70LP-MR,Mariano Rivera,New York Yankees,
70LP-DJ,Derek Jeter,New York Yankees,
70LP-RJ,Reggie Jackson,Oakland Athletics,
70LP-SC,Steve Carlton,Philadelphia Phillies,
70LP-KG,Ken Griffey Jr.,Seattle Mariners,
70LP-BG,Bob Gibson,St. Louis Cardinals,
70LP-I,Ichiro,Seattle Mariners,
70LP-VG,Vladimir Guerrero,Montreal Expos,
70LP-CK,Clayton Kershaw,Los Angeles Dodgers,
70LP-PM,Pedro Martinez,Boston Red Sox,
70LP-CR,Cal Ripken Jr.,Baltimore Orioles,
70LP-CJ,Chipper Jones,Atlanta Braves,
70LP-FT,Frank Thomas,Chicago White Sox,
70LP-JB,Johnny Bench,Cincinnati Reds,
70LP-NR,Nolan Ryan,Houston Astros,
70LP-MC,Miguel Cabrera,Detroit Tigers,
70LP-MT,Mike Trout,Angels,
T70PA-RJ,Randy Johnson,Seattle Mariners,
T70PA-GM,Greg Maddux,Atlanta Braves,
T70PA-MP,Mike Piazza,Los Angeles Dodgers,
T70PA-AP,Albert Pujols,Angels,
T70PA-JS,Juan Soto,Washington Nationals,
T70PA-FT,Fernando Tatis Jr.,San Diego Padres,
T70PA-OS,Ozzie Smith,St. Louis Cardinals,
T70PA-RCL,Roger Clemens,Boston Red Sox,
T70PA-FR,Frank Robinson,Cincinnati Reds,
T70PA-LB,Lou Brock,St. Louis Cardinals,
T70PA-CY,Carl Yastrzemski,Boston Red Sox,
T70PA-BR,Brooks Robinson,Baltimore Orioles,
T70PA-RH,Rickey Henderson,Oakland Athletics,
T70PA-MS,Mike Schmidt,Philadelphia Phillies,
T70PA-AK,Al Kaline,Detroit Tigers,
