card_number,name,team,designations
86B-1,Brady Singer,Kansas City Royals,RC
86B-2,Triston McKenzie,Cleveland Indians,RC
86B-3,Jose Garcia,Cincinnati Reds,RC
86B-4,J.D. Martinez,Boston Red Sox,
86B-5,Shane McClanahan,Tampa Bay Rays,RC
86B-6,Aaron Nola,Philadelphia Phillies,
86B-7,Yu Darvish,San Diego Padres,
86B-8,Sixto Sanchez,Miami Marlins,RC
86B-9,Jazz Chisholm,Miami Marlins,RC
86B-10,Nick Madrigal,Chicago White Sox,RC
86B-11,Michael Conforto,New York Mets,
86B-12,Francisco Lindor,New York Mets,
86B-13,Yordan Alvarez,Houston Astros,
86B-14,Joey Bart,San Francisco Giants,RC
86B-15,Byron Buxton,Minnesota Twins,
86B-16,Carlos Correa,Houston Astros,
86B-17,Dylan Carlson,St. Louis Cardinals,RC
86B-18,Jose Abreu,Chicago White Sox,
86B-19,Jose Ramirez,Cleveland Indians,
86B-20,Ian Anderson,Atlanta Braves,RC
86B-21,Dane Dunning,Texas Rangers,RC
86B-22,Jose Canseco,Oakland Athletics,
86B-23,Jo Adell,Angels,RC
86B-24,Randy Johnson,Seattle Mariners,
86B-25,Deivi Garcia,New York Yankees,RC
86B-26,Charlie Blackmon,Colorado Rockies,
86B-27,Corey Seager,Los Angeles Dodgers,
86B-28,Ozzie Albies,Atlanta Braves,
86B-29,Luke Voit,New York Yankees,
86B-30,Cristian Pache,Atlanta Braves,RC
86B-31,Sam Huff,Texas Rangers,RC
86B-32,Dean Kremer,Baltimore Orioles,RC
86B-33,Bobby Dalbec,Boston Red Sox,RC
86B-34,Ke'Bryan Hayes,Pittsburgh Pirates,RC
86B-35,Mike Yastrzemski,San Francisco Giants,
86B-36,Daulton Varsho,Arizona Diamondbacks,RC
86B-37,Manny Machado,San Diego Padres,
86B-38,Tanner Houck,Boston Red Sox,RC
86B-39,Garrett Crochet,Chicago White Sox,RC
86B-40,Luis Garcia,Washington Nationals,RC
86B-41,George Springer,Toronto Blue Jays,
86B-42,Willson Contreras,Chicago Cubs,
86B-43,Jake Cronenworth,San Diego Padres,RC
86B-44,Matt Olson,Oakland Athletics,
86B-45,Brailyn Marquez,Chicago Cubs,RC
86B-46,Mike Schmidt,Philadelphia Phillies,
86B-47,Tarik Skubal,Detroit Tigers,RC
86B-48,Alex Kirilloff,Minnesota Twins,RC
86B-49,Max Muncy,Los Angeles Dodgers,
86B-50,Kris Bubic,Kansas City Royals,RC
