card_number,name,team,designations
70YTC-1,Willie Mays,New York Giants,
70YTC-2,Derek Jeter,New York Yankees,
70YTC-3,Mookie Betts,Los Angeles Dodgers,
70YTC-4,Casey Mize,Detroit Tigers,RC
70YTC-5,Javier Baez,Chicago Cubs,
70YTC-6,Ken Griffey Jr.,Seattle Mariners,
70YTC-7,Barry Larkin,Cincinnati Reds,
70YTC-8,Max Scherzer,Washington Nationals,
70YTC-9,Aaron Judge,New York Yankees,
70YTC-10,Anthony Rizzo,Chicago Cubs,
70YTC-11,Ke'Bryan Hayes,Pittsburgh Pirates,RC
70YTC-12,Walker Buehler,Los Angeles Dodgers,
70YTC-13,Christian Yelich,Milwaukee Brewers,
70YTC-14,Corey Seager,Los Angeles Dodgers,
70YTC-15,Gary Carter,New York Mets,
70YTC-16,Alex Kirilloff,Minnesota Twins,RC
70YTC-17,Luis Garcia,Washington Nationals,RC
70YTC-18,Jose Garcia,Cincinnati Reds,RC
70YTC-19,Rickey Henderson,Oakland Athletics,
70YTC-20,Kirby Puckett,Minnesota Twins,
70YTC-21,Anthony Rendon,Angels,
70YTC-22,Jo Adell,Angels,RC
70YTC-23,Alec Bohm,Philadelphia Phillies,RC
70YTC-24,Brady Singer,Kansas City Royals,RC
70YTC-25,Yordan Alvarez,Houston Astros,
70YTC-26,Eddie Murray,Baltimore Orioles,
70YTC-27,Shane Bieber,Cleveland Indians,
70YTC-28,Cal Ripken Jr.,Baltimore Orioles,
70YTC-29,Mark McGwire,Oakland Athletics,
70YTC-30,Cristian Pache,Atlanta Braves,RC
70YTC-31,Tarik Skubal,Detroit Tigers,RC
70YTC-32,Ryan Mountcastle,Baltimore Orioles,RC
70YTC-33,Bobby Dalbec,Boston Red Sox,RC
70YTC-34,Nate Pearson,Toronto Blue Jays,RC
70YTC-35,Craig Biggio,Houston Astros,
70YTC-36,David Wright,New York Mets,
70YTC-37,Yu Darvish,San Diego Padres,
70YTC-38,Ian Anderson,Atlanta Braves,RC
70YTC-39,Fernando Tatis Jr.,San Diego Padres,
70YTC-40,Bryce Harper,Philadelphia Phillies,
70YTC-41,Ronald Acuña Jr.,Atlanta Braves,
70YTC-42,Nick Madrigal,Chicago White Sox,RC
70YTC-43,Trevor Story,Colorado Rockies,
70YTC-44,David Ortiz,Boston Red Sox,
70YTC-45,Michael Conforto,New York Mets,
70YTC-46,Eloy Jimenez,Chicago White Sox,
70YTC-47,Tyler Stephenson,Cincinnati Reds,RC
70YTC-48,Sixto Sanchez,Miami Marlins,RC
70YTC-49,Tim Lincecum,San Francisco Giants,
70YTC-50,Jack Flaherty,St. Louis Cardinals,
70YTC-51,Sam Huff,Texas Rangers,RC
70YTC-52,Randy Arozarena,Tampa Bay Rays,
70YTC-53,Bo Bichette,Toronto Blue Jays,
70YTC-54,Dylan Carlson,St. Louis Cardinals,RC
70YTC-55,Mike Trout,Angels,
70YTC-56,Whit Merrifield,Kansas City Royals,
70YTC-57,Tyler Glasnow,Tampa Bay Rays,
70YTC-58,Xander Bogaerts,Boston Red Sox,
70YTC-59,Giancarlo Stanton,New York Yankees,
70YTC-60,Joey Bart,San Francisco Giants,RC
70YTC-61,Deivi Garcia,New York Yankees,RC
70YTC-62,Juan Soto,Washington Nationals,
70YTC-63,Jazz Chisholm,Miami Marlins,RC
70YTC-64,Stan Musial,St. Louis Cardinals,
70YTC-65,Greg Maddux,Chicago Cubs,
70YTC-66,Luis Robert,Chicago White Sox,
70YTC-67,Roger Maris,New York Yankees,
70YTC-68,Hank Aaron,Atlanta Braves,
70YTC-69,Mike Piazza,New York Mets,
70YTC-70,Jackie Robinson,Brooklyn Dodgers,
