card_number,name,team,designations
70YT-1,Willie Mays,New York Giants,
70YT-2,Derek Jeter,New York Yankees,
70YT-3,Mookie Betts,Los Angeles Dodgers,
70YT-4,Casey Mize,Detroit Tigers,RC
70YT-5,Javier Baez,Chicago Cubs,
70YT-6,Ken Griffey Jr.,Seattle Mariners,
70YT-7,Barry Larkin,Cincinnati Reds,
70YT-8,Max Scherzer,Washington Nationals,
70YT-9,Aaron Judge,New York Yankees,
70YT-10,Anthony Rizzo,Chicago Cubs,
70YT-11,Ke'Bryan Hayes,Pittsburgh Pirates,RC
70YT-12,Walker Buehler,Los Angeles Dodgers,
70YT-13,Christian Yelich,Milwaukee Brewers,
70YT-14,Corey Seager,Los Angeles Dodgers,
70YT-15,Gary Carter,New York Mets,
70YT-16,Alex Kirilloff,Minnesota Twins,RC
70YT-17,Luis Garcia,Washington Nationals,RC
70YT-18,Jose Garcia,Cincinnati Reds,RC
70YT-19,Rickey Henderson,Oakland Athletics,
70YT-20,Kirby Puckett,Minnesota Twins,
70YT-21,Anthony Rendon,Angels,
70YT-22,Jo Adell,Angels,RC
70YT-23,Alec Bohm,Philadelphia Phillies,RC
70YT-24,Brady Singer,Kansas City Royals,RC
70YT-25,Yordan Alvarez,Houston Astros,
70YT-26,Eddie Murray,Baltimore Orioles,
70YT-27,Shane Bieber,Cleveland Indians,
70YT-28,Cal Ripken Jr.,Baltimore Orioles,
70YT-29,Mark McGwire,Oakland Athletics,
70YT-30,Cristian Pache,Atlanta Braves,RC
70YT-31,Tarik Skubal,Detroit Tigers,RC
70YT-32,Ryan Mountcastle,Baltimore Orioles,RC
70YT-33,Bobby Dalbec,Boston Red Sox,RC
70YT-34,Nate Pearson,Toronto Blue Jays,RC
70YT-35,Craig Biggio,Houston Astros,
70YT-36,David Wright,New York Mets,
70YT-37,Yu Darvish,Chicago Cubs,
70YT-38,Ian Anderson,Atlanta Braves,RC
70YT-39,Fernando Tatis Jr.,San Diego Padres,
70YT-40,Bryce Harper,Philadelphia Phillies,
70YT-41,Ronald Acuña Jr.,Atlanta Braves,
70YT-42,Nick Madrigal,Chicago White Sox,RC
70YT-43,Trevor Story,Colorado Rockies,
70YT-44,David Ortiz,Boston Red Sox,
70YT-45,Michael Conforto,New York Mets,
70YT-46,Eloy Jimenez,Chicago White Sox,
70YT-47,Tyler Stephenson,Cincinnati Reds,RC
70YT-48,Sixto Sanchez,Miami Marlins,RC
70YT-49,Tim Lincecum,San Francisco Giants,
70YT-50,Jack Flaherty,St. Louis Cardinals,
70YT-51,Sam Huff,Texas Rangers,RC
70YT-52,Randy Arozarena,Tampa Bay Rays,
70YT-53,Bo Bichette,Toronto Blue Jays,
70YT-54,Dylan Carlson,St. Louis Cardinals,RC
70YT-55,Mike Trout,Angels,
70YT-56,Whit Merrifield,Kansas City Royals,
70YT-57,Tyler Glasnow,Tampa Bay Rays,
70YT-58,Xander Bogaerts,Boston Red Sox,
70YT-59,Giancarlo Stanton,New York Yankees,
70YT-60,Joey Bart,San Francisco Giants,RC
70YT-61,Deivi Garcia,New York Yankees,RC
70YT-62,Juan Soto,Washington Nationals,
70YT-63,Jazz Chisholm,Miami Marlins,RC
70YT-64,Stan Musial,St. Louis Cardinals,
70YT-65,Greg Maddux,Chicago Cubs,
70YT-66,Luis Robert,Chicago White Sox,
70YT-67,Roger Maris,New York Yankees,
70YT-68,Hank Aaron,Atlanta Braves,
70YT-69,Mike Piazza,New York Mets,
70YT-70,Jackie Robinson,Brooklyn Dodgers,
