card_number,name,team,designations
TE-1,Cody Bellinger,Los Angeles Dodgers,
TE-2,Cody Bellinger,Los Angeles Dodgers,
TE-3,Cody Bellinger,Los Angeles Dodgers,
TE-4,Cody Bellinger,Los Angeles Dodgers,
TE-5,Cody Bellinger,Los Angeles Dodgers,
TE-6,Cody Bellinger,Los Angeles Dodgers,
TE-7,Cody Bellinger,Los Angeles Dodgers,
TE-8,Cody Bellinger,Los Angeles Dodgers,
TE-9,Cody Bellinger,Los Angeles Dodgers,
TE-10,Cody Bellinger,Los Angeles Dodgers,
TE-11,Cody Bellinger,Los Angeles Dodgers,
TE-12,Cody Bellinger,Los Angeles Dodgers,
TE-13,Cody Bellinger,Los Angeles Dodgers,
TE-14,Cody Bellinger,Los Angeles Dodgers,
TE-15,Cody Bellinger,Los Angeles Dodgers,
TE-16,Cody Bellinger,Los Angeles Dodgers,
TE-17,Cody Bellinger,Los Angeles Dodgers,
TE-18,Cody Bellinger,Los Angeles Dodgers,
TE-19,Cody Bellinger,Los Angeles Dodgers,
TE-20,Cody Bellinger,Los Angeles Dodgers,
TE-21,Cody Bellinger,Los Angeles Dodgers,
TE-22,Cody Bellinger,Los Angeles Dodgers,
TE-23,Cody Bellinger,Los Angeles Dodgers,
TE-24,Cody Bellinger,Los Angeles Dodgers,
TE-25,Cody Bellinger,Los Angeles Dodgers,
TE-26,Cody Bellinger,Los Angeles Dodgers,
TE-27,Cody Bellinger,Los Angeles Dodgers,
TE-28,Cody Bellinger,Los Angeles Dodgers,
TE-29,Cody Bellinger,Los Angeles Dodgers,
TE-30,Cody Bellinger,Los Angeles Dodgers,
