card_number,name,team,designations
DHD-1,Marcell Ozuna,Atlanta Braves,
DHD-2,Jesse Winker,Cincinnati Reds,
DHD-3,Bryce Harper,Philadelphia Phillies,
DHD-4,Corey Seager,Los Angeles Dodgers,
DHD-5,Pete Alonso,New York Mets,
DHD-6,Andrew McCutchen,Philadelphia Phillies,
DHD-7,Howie Kendrick,Washington Nationals,
DHD-8,Brad Miller,St. Louis Cardinals,
DHD-9,J.T. Realmuto,Philadelphia Phillies,
DHD-10,Ryan Braun,Milwaukee Brewers,
DHD-11,Christian Yelich,Milwaukee Brewers,
DHD-12,Juan Soto,Washington Nationals,
DHD-13,Eric Hosmer,San Diego Padres,
DHD-14,Paul Goldschmidt,St. Louis Cardinals,
DHD-15,Christian Walker,Arizona Diamondbacks,
