card_number,name,team,designations
HRC-1,Mike Trout,Angels,
HRC-2,Ronald Acuña Jr.,Atlanta Braves,
HRC-3,Freddie Freeman,Atlanta Braves,
HRC-4,J.D. Martinez,Boston Red Sox,
HRC-5,Rafael Devers,Boston Red Sox,
HRC-6,Javier Baez,Chicago Cubs,
HRC-7,Kyle Schwarber,Washington Nationals,
HRC-8,Eloy Jimenez,Chicago White Sox,
HRC-9,Francisco Lindor,New York Mets,
HRC-10,Nolan Arenado,St. Louis Cardinals,
HRC-11,Yordan Alvarez,Houston Astros,
HRC-12,Alex Bregman,Houston Astros,
HRC-13,Jorge Soler,Kansas City Royals,
HRC-14,Mookie Betts,Los Angeles Dodgers,
HRC-15,Cody Bellinger,Los Angeles Dodgers,
HRC-16,Christian Yelich,Milwaukee Brewers,
HRC-17,Josh Donaldson,Minnesota Twins,
HRC-18,Pete Alonso,New York Mets,
HRC-19,Aaron Judge,New York Yankees,
HRC-20,Gleyber Torres,New York Yankees,
HRC-21,Bryce Harper,Philadelphia Phillies,
HRC-22,Giancarlo Stanton,New York Yankees,
HRC-23,Fernando Tatis Jr.,San Diego Padres,
HRC-24,Paul Goldschmidt,St. Louis Cardinals,
HRC-25,Joey Gallo,Texas Rangers,
HRC-26,Vladimir Guerrero Jr.,Toronto Blue Jays,
HRC-27,Juan Soto,Washington Nationals,
HRC-28,Eugenio Suarez,Cincinnati Reds,
HRC-29,Kris Bryant,Chicago Cubs,
HRC-30,Matt Chapman,Oakland Athletics,
