card_number,name,team,designations
JSH-1,Juan Soto,Washington Nationals,
JSH-2,Juan Soto,Washington Nationals,
JSH-3,Juan Soto,Washington Nationals,
JSH-4,Juan Soto,Washington Nationals,
JSH-5,Juan Soto,Washington Nationals,
JSH-6,Juan Soto,Washington Nationals,
JSH-7,Juan Soto,Washington Nationals,
JSH-8,Juan Soto,Washington Nationals,
JSH-9,Juan Soto,Washington Nationals,
JSH-10,Juan Soto,Washington Nationals,
JSH-11,Juan Soto,Washington Nationals,
JSH-12,Juan Soto,Washington Nationals,
JSH-13,Juan Soto,Washington Nationals,
JSH-14,Juan Soto,Washington Nationals,
JSH-15,Juan Soto,Washington Nationals,
JSH-16,Juan Soto,Washington Nationals,
JSH-17,Juan Soto,Washington Nationals,
JSH-18,Juan Soto,Washington Nationals,
JSH-19,Juan Soto,Washington Nationals,
JSH-20,Juan Soto,Washington Nationals,
JSH-21,Juan Soto,Washington Nationals,
JSH-22,Juan Soto,Washington Nationals,
JSH-23,Juan Soto,Washington Nationals,
JSH-24,Juan Soto,Washington Nationals,
JSH-25,Juan Soto,Washington Nationals,
JSH-26,Juan Soto,Washington Nationals,
JSH-27,Juan Soto,Washington Nationals,
JSH-28,Juan Soto,Washington Nationals,
JSH-29,Juan Soto,Washington Nationals,
JSH-30,Juan Soto,Washington Nationals,
