card_number,name,team,designations
SS-1,Pete Alonso,New York Mets,
SS-2,Fernando Tatis Jr.,San Diego Padres,
SS-3,Ronald Acuña Jr.,Atlanta Braves,
SS-4,Mike Trout,Angels,
SS-5,Fernando Tatis Jr.,San Diego Padres,
SS-6,Miguel Sano,Minnesota Twins,
SS-7,Juan Soto,Washington Nationals,
SS-8,Fernando Tatis Jr.,San Diego Padres,
SS-9,Fernando Tatis Jr.,San Diego Padres,
SS-10,Freddie Freeman,Atlanta Braves,
SS-11,Juan Soto,Washington Nationals,
SS-12,Juan Soto,Washington Nationals,
SS-13,Freddie Freeman,Atlanta Braves,
SS-14,Trevor Bauer,Cincinnati Reds,
SS-15,Marcell Ozuna,Atlanta Braves,
SS-16,Kenley Jansen,Los Angeles Dodgers,
SS-17,Devin Williams,Milwaukee Brewers,
SS-18,Devin Williams,Milwaukee Brewers,
SS-19,Dustin May,Los Angeles Dodgers,
SS-20,Jacob deGrom,New York Mets,
SS-21,Brusdar Graterol,Los Angeles Dodgers,
SS-22,Cody Bellinger,Los Angeles Dodgers,
SS-23,Luis Robert,Chicago White Sox,
SS-24,Kevin Kiermaier,Tampa Bay Rays,
SS-25,J.T. Realmuto,Philadelphia Phillies,
