card_number,name,team,designations
SIS-1,Christian Yelich,Milwaukee Brewers,
SIS-2,Clayton Kershaw,Los Angeles Dodgers,
SIS-3,Aaron Judge,New York Yankees,
SIS-4,Adam Wainwright,St. Louis Cardinals,
SIS-5,Cal Ripken Jr.,Baltimore Orioles,
SIS-6,Anthony Rizzo,Chicago Cubs,
SIS-7,Mookie Betts,Los Angeles Dodgers,
SIS-8,Carlos Carrasco,Cleveland Indians,
SIS-9,Pete Alonso,New York Mets,
SIS-10,Albert Pujols,Angels,
SIS-11,Derek Jeter,New York Yankees,
SIS-12,Yadier Molina,St. Louis Cardinals,
SIS-13,Don Mattingly,New York Yankees,
SIS-14,Roberto Clemente,Pittsburgh Pirates,
SIS-15,Pedro Martinez,Boston Red Sox,
SIS-16,CC Sabathia,New York Yankees,
SIS-17,Sean Doolittle,Washington Nationals,
SIS-18,Jon Lester,Chicago Cubs,
SIS-19,Ken Griffey Jr.,Seattle Mariners,
SIS-20,David Ortiz,Boston Red Sox,
SIS-21,Andrew McCutchen,Philadelphia Phillies,
SIS-22,Francisco Lindor,Cleveland Indians,
SIS-23,Mike Piazza,New York Mets,
SIS-24,Justin Verlander,Houston Astros,
SIS-25,Edgar Martinez,Seattle Mariners,
