card_number,name,team,designations
TC52-1,Aaron Judge,New York Yankees,
TC52-2,Miguel Cabrera,Detroit Tigers,
TC52-3,Yordan Alvarez,Houston Astros,
TC52-4,Javier Baez,Chicago Cubs,
TC52-5,Josh Donaldson,Minnesota Twins,
TC52-6,Mookie Betts,Los Angeles Dodgers,
TC52-7,Casey Mize,Detroit Tigers,RC
TC52-8,Buster Posey,San Francisco Giants,
TC52-9,Juan Soto,Washington Nationals,
TC52-10,Francisco Lindor,Cleveland Indians,
TC52-11,Alex Bregman,Houston Astros,
TC52-12,J.D. Martinez,Boston Red Sox,
TC52-13,Max Scherzer,Washington Nationals,
TC52-14,Alec Bohm,Philadelphia Phillies,RC
TC52-15,Jacob deGrom,New York Mets,
TC52-16,Justin Verlander,Houston Astros,
TC52-17,Evan White,Seattle Mariners,RC
TC52-18,Nate Pearson,Toronto Blue Jays,RC
TC52-19,Luis Robert,Chicago White Sox,
TC52-20,Pete Alonso,New York Mets,
TC52-21,Bryce Harper,Philadelphia Phillies,
TC52-22,Cody Bellinger,Los Angeles Dodgers,
TC52-23,Josh Bell,Pittsburgh Pirates,
TC52-24,Manny Machado,San Diego Padres,
TC52-25,Gerrit Cole,New York Yankees,
TC52-26,Jo Adell,Angels,RC
TC52-27,Mike Trout,Angels,
TC52-28,Bo Bichette,Toronto Blue Jays,
TC52-29,Rafael Devers,Boston Red Sox,
TC52-30,Yadier Molina,St. Louis Cardinals,
TC52-31,Paul Goldschmidt,St. Louis Cardinals,
TC52-32,Fernando Tatis Jr.,San Diego Padres,
TC52-33,Dylan Carlson,St. Louis Cardinals,RC
TC52-34,Albert Pujols,Angels,
TC52-35,Nolan Arenado,Colorado Rockies,
TC52-36,Blake Snell,Tampa Bay Rays,
TC52-37,Eloy Jimenez,Chicago White Sox,
TC52-38,Gleyber Torres,New York Yankees,
TC52-39,Kris Bryant,Chicago Cubs,
TC52-40,Clayton Kershaw,Los Angeles Dodgers,
TC52-41,Stephen Strasburg,Washington Nationals,
TC52-42,Freddie Freeman,Atlanta Braves,
TC52-43,Shohei Ohtani,Angels,
TC52-44,Matt Chapman,Oakland Athletics,
TC52-45,Ronald Acuña Jr.,Atlanta Braves,
TC52-46,Vladimir Guerrero Jr.,Toronto Blue Jays,
TC52-47,Sonny Gray,Cincinnati Reds,
TC52-48,Joey Votto,Cincinnati Reds,
TC52-49,Joey Bart,San Francisco Giants,RC
TC52-50,Christian Yelich,Milwaukee Brewers,
51BT-1,Ronald Acuña Jr.,Atlanta Braves,
51BT-2,Mike Trout,Angels,
51BT-3,Shohei Ohtani,Angels,
51BT-4,Rafael Devers,Boston Red Sox,
51BT-5,Kris Bryant,Chicago Cubs,
51BT-6,Javier Baez,Chicago Cubs,
51BT-7,Luis Robert,Chicago White Sox,
51BT-8,Francisco Lindor,Cleveland Indians,
51BT-9,Nolan Arenado,Colorado Rockies,
51BT-10,Alex Bregman,Houston Astros,
51BT-11,Justin Verlander,Houston Astros,
51BT-12,Mookie Betts,Los Angeles Dodgers,
51BT-13,Cody Bellinger,Los Angeles Dodgers,
51BT-14,Christian Yelich,Milwaukee Brewers,
51BT-15,Pete Alonso,New York Mets,
51BT-16,Jacob deGrom,New York Mets,
51BT-17,Aaron Judge,New York Yankees,
51BT-18,Gerrit Cole,New York Yankees,
51BT-19,Bryce Harper,Philadelphia Phillies,
51BT-20,Fernando Tatis Jr.,San Diego Padres,
51BT-21,Buster Posey,San Francisco Giants,
51BT-22,Yadier Molina,St. Louis Cardinals,
51BT-23,Vladimir Guerrero Jr.,Toronto Blue Jays,
51BT-24,Juan Soto,Washington Nationals,
51BT-25,Matt Chapman,Oakland Athletics,
