card_number,name,team,designations
T52-1,Aaron Judge,New York Yankees,
T52-2,Miguel Cabrera,Detroit Tigers,
T52-3,Yordan Alvarez,Houston Astros,
T52-4,Javier Baez,Chicago Cubs,
T52-5,Josh Donaldson,Minnesota Twins,
T52-6,Mookie Betts,Los Angeles Dodgers,
T52-7,Casey Mize,Detroit Tigers,RC
T52-8,Buster Posey,San Francisco Giants,
T52-9,Juan Soto,Washington Nationals,
T52-10,Francisco Lindor,Cleveland Indians,
T52-11,Alex Bregman,Houston Astros,
T52-12,J.D. Martinez,Boston Red Sox,
T52-13,Max Scherzer,Washington Nationals,
T52-14,Alec Bohm,Philadelphia Phillies,RC
T52-15,Jacob deGrom,New York Mets,
T52-16,Justin Verlander,Houston Astros,
T52-17,Evan White,Seattle Mariners,RC
T52-18,Nate Pearson,Toronto Blue Jays,RC
T52-19,Luis Robert,Chicago White Sox,
T52-20,Pete Alonso,New York Mets,
T52-21,Bryce Harper,Philadelphia Phillies,
T52-22,Cody Bellinger,Los Angeles Dodgers,
T52-23,Josh Bell,Pittsburgh Pirates,
T52-24,Manny Machado,San Diego Padres,
T52-25,Gerrit Cole,New York Yankees,
T52-26,Jo Adell,Angels,RC
T52-27,Mike Trout,Angels,
T52-28,Bo Bichette,Toronto Blue Jays,
T52-29,Rafael Devers,Boston Red Sox,
T52-30,Yadier Molina,St. Louis Cardinals,
T52-31,Paul Goldschmidt,St. Louis Cardinals,
T52-32,Fernando Tatis Jr.,San Diego Padres,
T52-33,Dylan Carlson,St. Louis Cardinals,RC
T52-34,Albert Pujols,Angels,
T52-35,Nolan Arenado,Colorado Rockies,
T52-36,Blake Snell,Tampa Bay Rays,
T52-37,Eloy Jimenez,Chicago White Sox,
T52-38,Gleyber Torres,New York Yankees,
T52-39,Kris Bryant,Chicago Cubs,
T52-40,Clayton Kershaw,Los Angeles Dodgers,
T52-41,Stephen Strasburg,Washington Nationals,
T52-42,Freddie Freeman,Atlanta Braves,
T52-43,Shohei Ohtani,Angels,
T52-44,Matt Chapman,Oakland Athletics,
T52-45,Ronald Acuña Jr.,Atlanta Braves,
T52-46,Vladimir Guerrero Jr.,Toronto Blue Jays,
T52-47,Sonny Gray,Cincinnati Reds,
T52-48,Joey Votto,Cincinnati Reds,
T52-49,Joey Bart,San Francisco Giants,RC
T52-50,Christian Yelich,Milwaukee Brewers,
